path,bytes,sha256,role
.github/workflows/verify.yml,409,dc4936dcc4d6b95091c40c67a1f2e7a760d92ccd056b006d41dfcba09e6121e7,repository metadata or driver
.gitignore,53,799b6facfa0ac3fc42b61e929dfdaf41ffe55480a8f03e2926c2ba9b16afac65,repository metadata or driver
.zenodo.json,1029,91a0e6e3fd38fab312846522b44195057845bea1ca6fcd8edb836cc2acbccd24,repository metadata or driver
CHANGELOG.md,658,4b3fc8b82d4f8cef2663b557dbfdd88b42f840dc88be351afe9c37c5daa7f9ae,documentation
CITATION.cff,643,3222ec89bf6e5b18dd63fd6070490fc23a35d6cce075594fe5d787bfc54c1c3e,repository metadata or driver
CONTRIBUTING.md,666,fca7ba5d930862ffe7bff2ed87b00902c1072949e7ac9a893310d38c5fc61118,documentation
DATA_LICENSE.md,750,16d95af59785570fc3309b4a35a50b5b3ebc320b45d6e597453c0083d2658d54,documentation
LICENSE,1164,9380811f21c7af51115822fd079887f7ca87c6d59b7e5bedfd31cf4388528c75,repository metadata or driver
README.md,5050,051d92e2de651542d82e2a5853b40516893dfc3de2d76bc3fd162041016f060f,documentation
VERSION,6,59854984853104df5c353e2f681a15fc7924742f9a2e468c29af248dce45ce03,repository metadata or driver
analysis_checks/qstar_finite_form/MANUSCRIPT_INSERT.tex,5345,fa7b141e194d0ccc50b7d18c595a322f801c420742fcb062ccba8d59972fe70a,repository metadata or driver
analysis_checks/qstar_finite_form/README.md,864,6d7fb922f871ea914210f22d43ad7dd55ef7baff6d677cc42da9f94bb21a3bcd,documentation
analysis_checks/qstar_finite_form/REPORT.md,7390,b1717c5752aceef2ceb7c949b26c595d676e726107806bd78925a48ccbe9a40a,documentation
analysis_checks/qstar_finite_form/results/figures/Fig_Q1_finite_coordinate_robustness.pdf,32186,f555cee5b7af2ee99daa011b2c94505c3cfb68e2ee718ba66fe157dce67532fb,reported result
analysis_checks/qstar_finite_form/results/figures/Fig_Q1_finite_coordinate_robustness.png,635117,0cf3d30088e0beaca26ff498f562234f16f8f00b155f8276c50994c750272755,reported result
analysis_checks/qstar_finite_form/results/figures/Fig_Q2_endpoint_slope_closure.pdf,21194,26282f6566eb85c4ae169db9c22a5416d8c222166b030a1e4da69795ba97f143,reported result
analysis_checks/qstar_finite_form/results/figures/Fig_Q2_endpoint_slope_closure.png,298167,4a030a6c36bc70e62fd4264c56d9fa5473c4337f8410f6bf95bbf497b4e5a7d6,reported result
analysis_checks/qstar_finite_form/results/summary.json,5073,cca87d2f6e0bd3c695839bd4b28f50dfba3ee5c0beccd563778984e64497d91e,reported result
analysis_checks/qstar_finite_form/results/tables/Q1_loto_level.csv,11416,dc560d66858302f987ebe5dcf051374ce92f2d40e9b68cc73f68c8794ef580e9,reported result
analysis_checks/qstar_finite_form/results/tables/Q1_loto_shape_curves.csv,178917,b79a6634d4d5b7c333d0ce20efa4db86ece7b1a35ecf087d7e2fd4393ee25542,reported result
analysis_checks/qstar_finite_form/results/tables/Q1_loto_shape_summary.csv,25102,7cb7968b10b785816773f1379e5c56aa88254b47af489c2d3a4d3a877c6d062b,reported result
analysis_checks/qstar_finite_form/results/tables/Q1_pooled_coordinate_curves.csv,140496,6574dc91034197f53025d3f343508597c56746249e0f6b5bdfca6870d1929d34,reported result
analysis_checks/qstar_finite_form/results/tables/Q1_pooled_coordinate_summary.csv,12521,e484b9da01897c5c5cb11356a1c6efdeeabd69edc9fe09e747c514b2ab600323,reported result
analysis_checks/qstar_finite_form/results/tables/Q2_bootstrap_endpoint_replicates.csv,167812,27c8eb72413896a733b55cc6f64c9e5362df8104d2b6df7ed33f3ea1b12b2ae7,reported result
analysis_checks/qstar_finite_form/results/tables/Q2_bootstrap_endpoint_summary.csv,2590,58e87aee434823714d32b3877f551feb3591d028ab99c5c599ee29076ebff461,reported result
analysis_checks/qstar_finite_form/results/tables/Q2_endpoint_point_closure.csv,976,672dd8b667b8fd2a6e6126c81a9404f2ed8454cf6448385d0235ae5eba83e079,reported result
