test,train,held_out,adjustment,window,method,method_label,family,n_local_coefficients,n_points,rms_log_coordinate_error,max_abs_log_coordinate_error,median_abs_percent_ratio_error,max_abs_percent_ratio_error,ratio_min,ratio_max
held_out_profile_shape,19A,BT2,raw,local_pm_0p015,factored_log_log,log contact + log HS (current),two-coefficient power continuation,2,11,0.010846938162947623,0.01473652297440431,1.2142357082945088,1.4628471836902857,0.9853715281630971,1.0134884589710067
held_out_profile_shape,19A,BT2,raw,between_operating_points,factored_log_log,log contact + log HS (current),two-coefficient power continuation,2,13,0.011612976405599376,0.013398299544644443,1.2852982708605687,1.34884589710067,1.0001229385850374,1.0134884589710067
held_out_profile_shape,19A,BT2,raw,full_admissible_grid,factored_log_log,log contact + log HS (current),two-coefficient power continuation,2,36,0.009745649863889217,0.01473652297440431,0.9565531814858863,1.4628471836902857,0.9853715281630971,1.0134884589710067
held_out_profile_shape,19A,BT2,raw,local_pm_0p015,log_linear_hs,log contact + linear HS,two-coefficient power continuation,2,11,0.011986570313367601,0.015456594845507654,1.3420713646458582,1.5576665839540205,0.9849983394285826,1.0155766658395402
held_out_profile_shape,19A,BT2,raw,between_operating_points,log_linear_hs,log contact + linear HS,two-coefficient power continuation,2,13,0.013265843994498903,0.015501154670199302,1.5003125608998857,1.562192076599933,1.0001284167938653,1.0156219207659993
held_out_profile_shape,19A,BT2,raw,full_admissible_grid,log_linear_hs,log contact + linear HS,two-coefficient power continuation,2,36,0.010947440655695572,0.015501154670199302,1.1202713637953332,1.562192076599933,0.9849983394285826,1.0156219207659993
held_out_profile_shape,19A,BT2,raw,local_pm_0p015,log_reciprocal_hs,log contact + reciprocal HS,two-coefficient power continuation,2,11,0.00977705045894509,0.014379363944549084,1.0925845926682998,1.427647464211057,0.9857235253578894,1.0116065655264195
held_out_profile_shape,19A,BT2,raw,between_operating_points,log_reciprocal_hs,log contact + reciprocal HS,two-coefficient power continuation,2,13,0.010042007468645182,0.011539726032251174,1.0925845926682998,1.1606565526419477,1.000117761981064,1.0116065655264195
held_out_profile_shape,19A,BT2,raw,full_admissible_grid,log_reciprocal_hs,log contact + reciprocal HS,two-coefficient power continuation,2,36,0.00894464603711886,0.014379363944549084,0.8344148920052419,1.427647464211057,0.9857235253578894,1.0116065655264195
held_out_profile_shape,19A,BT2,raw,local_pm_0p015,linear_contact_log_hs,linear contact + log HS,two-coefficient power continuation,2,11,0.27630982533749354,0.38466856751401957,30.667977909934272,46.91273242209641,0.7478326453336014,1.4691273242209641
held_out_profile_shape,19A,BT2,raw,between_operating_points,linear_contact_log_hs,linear contact + log HS,two-coefficient power continuation,2,13,0.32744726416435643,0.4037561789390238,42.86583758074578,49.7438795328295,1.0026183161929787,1.497438795328295
held_out_profile_shape,19A,BT2,raw,full_admissible_grid,linear_contact_log_hs,linear contact + log HS,two-coefficient power continuation,2,36,0.32904578057239714,0.4037561789390238,40.48622946608309,49.7438795328295,0.7478326453336014,1.497438795328295
held_out_profile_shape,19A,BT2,raw,local_pm_0p015,reciprocal_contact_log_hs,reciprocal contact + log HS,two-coefficient power continuation,2,11,1.8241303652400243,4.304435644351235,78.8404023008665,7302.742586591206,0.1814688226683835,74.02742586591206
held_out_profile_shape,19A,BT2,raw,between_operating_points,reciprocal_contact_log_hs,reciprocal contact + log HS,two-coefficient power continuation,2,13,1.5193707657152487,1.7333295930071444,80.99317469597477,82.33048933473044,0.17669510665269564,0.9778608258701004
