metric,n,mean,median,q02p5,q16,q84,q97p5,std
median_mK,400,0.9422579619746864,0.9440122902811501,0.9180109270381551,0.933124582288373,0.9518320383155566,0.9588217516259632,0.010217910240031106
median_mG,400,0.9272154007778756,0.9293857957355743,0.8985504832175697,0.9165538853999503,0.9383052660708717,0.9460211653914079,0.011914656116398362
endpoint_AK,400,0.3081693628007231,0.308905787625921,0.29786313857034025,0.304259043885605,0.31226364506846005,0.31527969535075356,0.004361495727783774
endpoint_AG,400,0.30177032733947895,0.30267097523395625,0.2897195315574948,0.2972498468804668,0.306465976473652,0.3097667720125896,0.005032820304855648
endpoint_betaK_at_pooled_V,400,24.56306688931663,24.621764652377472,23.741594979044702,24.251389491545204,24.88940734150232,25.129805816393617,0.34763907198749655
endpoint_betaG_at_pooled_V,400,24.053022884185303,24.124810274971686,23.09249747642832,23.69271171347893,24.427296117329625,24.690390608209665,0.40114792939368116
contact_beta_raw_at_pooled_V,400,24.162725238054517,24.222257397720462,23.19261628199249,23.816877325115733,24.5343669367901,24.781971014342687,0.3932679298463831
HS_beta_raw_at_pooled_V,400,-3.8469998369584424,-3.852467922649903,-3.936923220371167,-3.9017140445164364,-3.7956088965565575,-3.7229767791126656,0.054330455418794846
total_beta_raw_at_pooled_V,400,20.315725401096078,20.36941459361203,19.45876471760872,20.00087257813002,20.636305809882714,20.862414257150938,0.3509062146370822
contact_beta_adjusted_at_pooled_V,400,24.17943188728707,24.235653506183432,23.126802652966603,23.816411911961094,24.57005668838008,24.82053009620978,0.4110675956069018
HS_beta_adjusted_at_pooled_V,400,-4.176097140847531,-4.182948355004802,-4.305076056573602,-4.244598271800789,-4.111369393877852,-4.00781246380386,0.0728004675767435
total_beta_adjusted_at_pooled_V,400,20.00333474643954,20.062682502948647,19.135533474714943,19.686300556225085,20.331604973757017,20.516504315702875,0.34672489811050045
A_raw_saved,400,0.3031466580982541,0.30389355130149587,0.2909756266800667,0.29880763433397567,0.30780929188114436,0.31091574398462457,0.004933957469432722
Gamma_raw_saved,400,1.4905352985393745,1.4926539299622976,1.4424820743681779,1.4706236754719024,1.5117345346072604,1.5253764690154115,0.021050549784129968
A_adjusted_saved,400,0.3033562604851111,0.3040616194921516,0.2901499258743855,0.29880179523920986,0.30825705714008217,0.3113995079927066,0.005157272891737364
Gamma_adjusted_saved,400,1.6180453502394692,1.6206998802556023,1.5528427866918688,1.5929663287312408,1.644586384292755,1.668018741142714,0.02820682902838387
