depth_m,phi,vsh,sw,vp_mps,vs_mps,rho_gcc
3156,0.2226288429,0.0,1,4009.121941,2383.584947,2.298451929
3160,0.2224865111,0.002351318472,1,3847.623585,2261.145006,2.298689148
3164,0.2348841801,0.0162,1,3745.428281,2221.470618,2.27903164
3168,0.2551993096,0.0,1,3641.9341,2123.6221,2.247
3172,0.2506278046,0.0,1,3692.19499,2176.075,2.254129952
3176,0.2431,0.02562970706,1,3707.0459,2181.4431,2.266
3180,0.2380448656,0.0261,1,3745.300935,2244.8091,2.274055134
3184,0.1044504819,0.04412186795,1,3976.749637,2369.8049,2.485049518
3188,0.2077923234,0.0039,1,3971.331942,2384.321353,2.321792283
3192,0.2315409766,0.0,1,3842.65229,2289.358679,2.284198372
3196,0.2179738233,0.0,1,3891.7361,2347.667,2.305655656
3200,0.2138968388,0.0,1,3919.166606,2359.013943,2.312147373
3204,0.2173852779,0.0851,1,3618.715433,2103.510992,2.306484188
3208,0.2101,0.1486,1,3855.781664,2284.872868,2.318
3212,0.2215,0.0,1,3897.244189,2352.657993,2.3
3216,0.2265,0.0,1,3896.012112,2355.8931,2.2921
3220,0.2448682279,0.0,1,3820.636,2264.834,2.263045389
3224,0.2519,0.0,1,3859.238,2318.6941,2.252
3228,0.2581,0.0,1,3813.231349,2258.426588,2.242
3232,0.2518,0.0,1,3822.195821,2245.863,2.2521
3236,0.2410668391,0.0,1,3968.121601,2371.038317,2.269047373
3240,0.2062,0.0,1,3979.4441,2350.071,2.3241
3244,0.2423,0.0324,1,3545.8311,2066.5049,2.267
3248,0.2584149223,0.0,1,3637.944935,2089.8379,2.241659706
3252,0.2367080001,0.0,1,3812.567805,1687.755,2.275823454
3256,0.2239281036,0.0,1,3875.511,2140.4009,2.295971896
3260,0.2259,5.045079197e-05,1,3853.906842,2222.5239,2.293
3264,0.2529888696,0.05495957335,1,3488.281564,2025.173848,2.250020819
3268,0.2651,0.0258,1,3435.707317,2009.368092,2.231
3272,0.2581,0.07872184565,1,3489.202572,2023.269873,2.242
