model,trajectory,N,Vp_RMSE_mps,Vs_RMSE_mps,rho_RMSE_gcc,phi_c,Cn,Vcem_fraction,Vcem_percent,phi_b,alpha_eff
soft_sand,19A,29,387.1365554074175,141.5754822832931,0.014461421223462282,0.49999999999999994,15.999999999999991,,,,
soft_sand,BT2,30,282.1300891469755,181.12490912948925,0.015816597411880295,0.49999999999999994,15.999999999999991,,,,
stiff_sand,19A,29,209.2462213426267,150.6656504489024,0.014461421223462282,0.3933243927607265,4.000000000000001,,,,
stiff_sand,BT2,30,156.70742066650251,162.49863793930174,0.015816597411880295,0.41209260063176867,4.000000000000001,,,,
contact_cement,19A,29,313.75827135107323,200.10178413205162,0.014461421223462282,0.30000000000000004,6.549559685753604,,,,
contact_cement,BT2,30,152.93296887934798,141.90204184077317,0.015816597411880295,0.30000000000000004,5.963295247078026,,,,
constant_cement,19A,29,246.13770490096755,152.8777395633577,0.014461421223462282,,4.7029523059115945,0.024592733574879642,2.459273357487964,0.3754072664251204,
constant_cement,BT2,30,151.6526511762741,147.78960823659094,0.015816597411880295,,8.292355473009664,0.002709648210837285,0.2709648210837285,0.3972903517891627,
DEM,19A,29,231.00047123359852,161.35004744510675,0.014461421223462282,,,,,,0.12204138105382409
DEM,BT2,30,165.52135545614604,165.09788978578686,0.015816597411880295,,,,,,0.12832813374236435
