Vcem_fraction,Vcem_percent,lnCn,Cn,delta_data_objective,beta_raw_projection,beta_raw_eigen,beta_adjusted_projection,beta_adjusted_eigen,raw_lambda_min,raw_lambda_max,adjusted_lambda_min,adjusted_lambda_max,raw_spectral_ratio,adjusted_spectral_ratio,raw_rho,adjusted_rho,raw_angular_independence,adjusted_angular_independence,raw_condition,adjusted_condition,retention_min,retention_max,beta_Vp_median,beta_Vp_q25,beta_Vp_q75,beta_Vs_median,beta_Vs_q25,beta_Vs_q75,strong_coordinate_angle_to_20p3_deg,a_c,m_N,m_T,m_G,m_N_minus_m_G,beta_endpoint_K,beta_endpoint_G,endpoint_log_jacobian_det
0.001,0.1,1.0986122886681098,3.0,2427.638353817623,307.3155634101082,307.3229787817646,307.2647647962181,307.3161425795024,0.0009468450353153912,20886.220298375738,0.00041500492484525253,1320.9938521833728,4.533347928868799e-08,3.141611326648657e-07,0.9999879127579503,0.9999162480518584,2.417433799795088e-05,0.00016749688189432455,4696.674622429889,1784.1188139207823,0.06324692900841453,0.4383044129266925,307.0818315849425,306.6918535690113,308.7549182250874,306.28496596192764,305.9966351124883,308.1649662192492,30.813244481648344,0.2333090341053722,0.9597798914089809,0.9370262597898711,0.9471041943814341,0.012675697027546784,315.6942119739442,310.2314178683656,3.168924256886696
0.001,0.1,1.3225822223216166,3.753100214577221,1770.751500337873,307.9690554592584,307.9760321614145,307.8826452909631,307.93366745509894,0.0010024669352404203,23653.563819460345,0.00040588708137434537,1308.8263840137647,4.2381221827370767e-08,3.1011529591084153e-07,0.9999886520091582,0.9999169952017851,2.2695852906706726e-05,0.00016600270663325034,4857.505080306928,1795.7191173254666,0.05532585457775746,0.40494169650877065,307.78450839488187,307.39047324672026,309.41467541781344,306.96742667648004,306.6854860366916,308.81827984301765,30.818505661211876,0.2206044806898733,0.961221861058932,0.9385810235073487,0.9486019027422823,0.012619958316649749,316.3185389354854,310.8745147330294,3.154989579162437
0.001,0.1,1.5465521559751234,4.6952537402198615,1187.17487287989,308.5632755003553,308.56985728964895,308.44565705080356,308.4959008058233,0.0010542533144928257,26520.694951370075,0.0003945399298412866,1299.030942587338,3.975209987618979e-08,3.037186543497292e-07,0.9999893150395169,0.9999184111293496,2.136980679778855e-05,0.000163171084556879,5015.566148662826,1814.530474662634,0.048961955299222655,0.3743879228608066,308.4336157477321,308.0311156629367,310.01901562840806,307.58649284500217,307.3108144474921,309.4132058797854,30.823270386200583,0.2085917379370269,0.9625334314860564,0.9399289221966577,0.9499266610076935,0.012606770478362894,316.886921970953,311.44387541892144,3.1516926195907233
0.001,0.1,1.7705220896286304,5.873919273304556,697.5936915831837,309.1034731770843,309.1097015354555,308.9661605505812,309.015215399271,0.0011012008099768877,29427.40215782864,0.0003819792141421807,1294.6693852798064,3.7420931826424665e-08,2.9503996810709066e-07,0.9999899065310907,0.9999204761973836,2.0186835940627645e-05,0.00015904128119770267,5169.430503075084,1841.0245243166673,0.04396579407565573,0.34710849403514427,309.0279488427295,308.61913660680284,310.57291186259215,308.14670358878857,307.8772209375153,309.95414561408364,30.827586123511395,0.19723313415721852,0.9637198062828131,0.9410765207164121,0.951084336913263,0.012635469369550067,317.40147311733193,311.94183178893854,3.158867342387517
0.001,0.1,1.9944920232821373,7.348469228349535,323.0583539266329,309.59534109511407,309.60125716111315,309.4581180457954,309.50564648354595,0.0011429414164680907,32308.596078399467,0.0003695167017583323,1298.8154633923332,3.5375768532146964e-08,2.845028506152859e-07,0.9999904279024788,0.9999230733349058,1.9144103417301217e-05,0.00015384741247659317,5316.760019749546,1874.8075288329603,0.04017187525663102,0.32353208812323286,309.57020749029,309.16034738284486,311.0818780411922,308.6528760722096,308.3895665600402,310.44584021760625,30.83150275465012,0.1864930490258603,0.9647856890262452,0.9420295759239858,0.9520801283232234,0.012705560703021757,317.86410782859133,312.370458675952,3.176390175755439
0.001,0.1,2.2184619569356445,9.193180479244251,84.26927341646814,310.04510901397674,310.0507556181554,309.93601010547184,309.98180957606183,0.0011800401907464675,35101.435335415954,0.0003586845890168888,1314.383580955286,3.3618003921220104e-08,2.7289186673817015e-07,0.9999908771834068,0.9999259861340752,1.824554996054939e-05,0.00014802225379717537,5453.986244166673,1914.2766587724511,0.03743103617820894,0.30407542229890483,310.06951549803,309.6611370098697,311.5521549294867,309.1102133799088,308.8530700335957,310.8934964726785,30.835073431047757,0.1763378018788586,0.9657353120244514,0.9427930857196387,0.952918601980186,0.012816710044265434,318.27655505847997,312.73158721636145,3.204177511066358
0.001,0.1,2.442431890589151,11.500975876432902,0.8907241334347304,310.4596078781249,310.4650316864452,310.4134635207785,310.4575123431181,0.0012142764196454436,37754.309069659066,0.00035113014367915696,1344.0073900439504,3.216259149134547e-08,2.61256110851946e-07,0.9999912488764532,0.9999289248352622,1.7502170511440873e-05,0.00014214527779654595,5576.022052573991,1956.441070930583,0.03559861375139776,0.2891695747321771,310.5363547556702,310.1285656651881,311.99089365273653,309.52979952673167,309.2733864499131,311.30290082446857,30.8383551727126,0.16673554609081306,0.9665724621311208,0.9433713330148064,0.9536037281962795,0.012968733934841326,318.64036640551564,313.0268169714069,3.242183483710331
0.001,0.1,2.6664018242426577,14.388105009895924,91.00909727451636,310.84627076888165,310.8515245117944,310.9020740992024,310.94454869304604,0.0012488797115537409,40236.87841507084,0.00034852462461643086,1389.9980422018293,3.103818588188415e-08,2.507374931725441e-07,0.9999915338503543,0.9999315727706176,1.693222761567359e-05,0.00013684977647909768,5676.12348643083,1997.056538060495,0.0345196000888912,0.27927818269478366,310.9783554169181,310.57039043793543,312.4096945782253,309.91417895710674,309.6566398872003,311.6804902254358,30.841408953343656,0.15765616920471953,0.9673005039106382,0.9437679252251532,0.954138911925326,0.013161591985312193,318.9569244028178,313.2575269637292,3.290397996328048
0.001,0.1,2.8903717578961645,18.0,370.8663915956343,311.21302141165006,311.21816612664554,311.41086548669404,311.4521291958204,0.001288708919076953,42550.052096057094,0.0003525404790796216,1454.3701031637693,3.028689403640874e-08,2.424008017716545e-07,0.9999917193469521,0.9999336323279207,1.6561237526580008e-05,0.0001327309394908438,5746.092738250921,2031.1078001732235,0.03401484506869097,0.27489098733192413,311.4036666109612,310.99496455039673,312.83646203829164,310.26889097535457,310.0093673718403,312.03023347352473,30.84429888679435,0.14907119849998599,0.9679224004044431,0.9439858298229794,0.9545270206073131,0.013395379797130014,319.22745002751657,313.4248857455501,3.3488449492825034
0.0069,0.69,1.0986122886681098,3.0,902.6135317684921,39.731254102732585,39.73504906540681,39.547102889601064,39.579757403291396,0.005093938967682732,526.9761220771071,0.0020220128338217513,24.0294772271138,9.666356319152894e-06,8.414718367406683e-05,0.999946868383746,0.9995405699924917,0.00010626040953931604,0.0009186489390846653,321.63892358796556,109.01348093741574,0.04476005575706109,0.40438304395502966,39.507511450789934,39.41833806824366,40.04844506239279,39.61252412943465,39.53353253786898,40.12911610991331,14.7480016890041,0.37813234534597556,0.9409145799204202,0.9136541250198621,0.925807647505975,0.015106932414445162,44.57686306418251,43.64561679714813,0.5473526237117813
0.0069,0.69,1.3225822223216166,3.753100214577221,470.58689368533095,39.99804627650247,40.00136701970221,39.773856135469316,39.803088820891524,0.004869987583262514,586.626478129943,0.00179407075050797,24.196072374232294,8.301683890551847e-06,7.414718896355149e-05,0.9999538794370418,0.9995914971554227,9.22389988099459e-05,0.0008168388145805006,347.0698625501037,116.13220031956709,0.03989987454433568,0.38082319739949144,39.783255428385665,39.70136916055939,40.30199080365328,39.907713013460764,39.82598523644674,40.39576415948959,14.86312603017249,0.3575416185530896,0.9437868916660637,0.9174124431106462,0.9291611770799375,0.01462571458612616,44.754964424478665,43.85154933936371,0.5299171951494985
0.0069,0.69,1.5465521559751234,4.6952537402198615,167.79057936842366,40.270710614524226,40.27359014085262,40.0113843795225,40.03684946869384,0.004566459874972395,646.521854923003,0.0015614687585840947,24.576450722846904,7.0631175732121744e-06,6.353516120749337e-05,0.999960331294485,0.9996466488067288,7.933583742369965e-05,0.0007065775294765597,376.27189635422155,125.45643197910377,0.03604202996221152,0.36064537169198196,40.07130504338814,39.99026862524676,40.55955606509977,40.209051055770246,40.122926080917594,40.66717986673355,14.979385868934795,0.33807213419047316,0.9464572889393729,0.9208634917954492,0.9322552829343381,0.01420200600503474,44.92084637881075,44.04195060404687,0.5145654349650268
0.0069,0.69,1.7705220896286304,5.873919273304556,14.899532128028852,40.55457226164472,40.5570477451072,40.26853476022096,40.290162652897635,0.004202209149823943,705.8075584237745,0.0013378776940369264,25.237444608391804,5.95376048282681e-06,5.301161487609816e-05,0.9999661824743473,0.9997021613184319,6.763390768027566e-05,0.0005955886552558853,409.83054199806196,137.34551523404383,0.03307160662979458,0.3442250955827312,40.37134595890704,40.28950065458825,40.82624782311849,40.51014739239372,40.42927047278175,40.94845228006841,15.098947839646325,0.3196628363954518,0.9489370809739077,0.9240239490557312,0.9351040791489414,0.013833001824966273,45.07514818098977,44.21759622878451,0.5011957182958795
0.0069,0.69,1.9944920232821373,7.348469228349535,31.252297804357113,40.85558330761218,40.85769650868542,40.55386195281025,40.57188130037854,0.0038032340294762434,763.9863373859911,0.0011365806632683828,26.243704672228176,4.978144036566356e-06,4.330869736051954e-05,0.9999713850865917,0.9997539205076998,5.722900800342323e-05,0.0004920984294838338,448.1942400122357,151.95410586382164,0.03091849437903718,0.3320231958683387,40.688180858892494,40.60487881555461,41.108027646277066,40.82523521621395,40.75052771618817,41.245433939238026,15.224123715923906,0.30225599402645154,0.9512366456023243,0.9269089183686454,0.9377204106951679,0.013516234907156477,45.218459878747424,44.379196880338455,0.4897186560563941
0.0069,0.69,2.2184619569356445,9.193180479244251,234.47625521490107,41.1802167539409,41.18201360990667,40.874859556652304,40.88974626882392,0.0033994018533860526,821.1275056990755,0.0009680859252219065,27.658074834586856,4.1399195981042385e-06,3.500192732182863e-05,0.9999758968397289,0.9997985902448141,4.820573957986518e-05,0.0004027789444822627,491.4779596409057,169.0261971829197,0.02955516090548534,0.324555832656923,41.01493805161957,40.9428006407348,41.411318361613965,41.16283355469634,41.09436145045943,41.56469539241023,15.357300577602127,0.28579701961944476,0.9533655024674095,0.9295320630121742,0.9401159572687522,0.013249545198657287,45.35132570479791,44.52740285465984,0.48005598545859735
0.0069,0.69,2.442431890589151,11.500975876432902,640.479049866939,41.53520038049424,41.53672965056557,41.237374873191385,41.24974206991508,0.0030200705749479084,878.0712360906226,0.0008380862529877575,29.542266418020326,3.439436859808738e-06,2.8369057442273213e-05,0.9999796942952572,0.9998344181480556,4.0610997163903484e-05,0.0003311362865390244,539.2080029541199,187.74896288639695,0.028975610162115945,0.32222044620394785,41.37959012878998,41.31916870068848,41.742661376041454,41.523785749458355,41.463513841830675,41.89660885155797,15.500803316269009,0.2702342982028975,0.9553323785178885,0.9319057248222534,0.9423013255122739,0.01303105300561469,45.47424714745886,44.66280822043788,0.4721396016527062
