scheme,block_length_samples,block_length_m,replicate,unique_fraction_19A,unique_fraction_BT2,bootstrap_success,hierarchy_evaluated,pooled_fit_nfev,pooled_fit_bound_hit,Vcem_fraction,Cn,A_raw,Gamma_raw,A_adjusted,Gamma_adjusted,beta_raw,beta_adjusted,beta_raw_at_BT2,beta_adjusted_at_BT2,beta_raw_at_pooled,beta_adjusted_at_pooled,beta_raw_at_19A,beta_adjusted_at_19A,hierarchy_separate_objective,hierarchy_qstar_objective,hierarchy_Cn_objective,hierarchy_qstar_delta,hierarchy_Cn_delta,hierarchy_delta_Cn_minus_qstar,hierarchy_qstar_success,hierarchy_Cn_success,hierarchy_qstar_bound_hit,hierarchy_Cn_bound_hit
IID,1,4,0,0.5862068965517241,0.7,True,False,22,False,0.029389155793424136,4.473840221019319,0.2948431154389121,1.4776278494638038,0.29476716221311106,1.5960554894928434,6.045371331581013,5.723239782562194,105.09305830090119,104.76693925487645,19.687193510315698,19.375483516328472,8.052967664304008,7.734414790639318,,,,,,,,,,
IID,1,4,1,0.7241379310344828,0.6666666666666666,True,False,16,False,0.017405847127405203,5.093140564640882,0.3000525309653665,1.4757659175932258,0.30025092655859614,1.6008331279613446,13.381343360072567,13.065848941429117,107.02028799841771,106.7787056863698,20.10722276351844,19.800243711673765,8.269754858485733,7.94467135824627,,,,,,,,,,
IID,1,4,2,0.6206896551724138,0.6,True,False,28,False,0.0047692394502102465,7.034770180037158,0.30895386001339764,1.5020339882395766,0.30914995138332396,1.6516702967635057,60.980132668831864,60.64264361134436,110.2392196322204,109.93494527457793,20.748918927341354,20.378344554829706,8.561732220988663,8.171108508161439,,,,,,,,,,
IID,1,4,3,0.5517241379310345,0.5333333333333333,True,False,21,False,0.009243430098910948,6.036001519045186,0.3048399144301963,1.4959211478009418,0.3052997974741935,1.638721092350477,29.15082143456765,28.83512908821559,108.73634777398672,108.546633630431,20.43678813013999,20.104883965478724,8.410732471669357,8.04904569252759,,,,,,,,,,
IID,1,4,4,0.5862068965517241,0.6333333333333333,True,False,11,False,0.012552870285827944,5.4355450291122445,0.3025661875941534,1.4967237958755693,0.30297071082225147,1.6129859934672957,20.24030684749185,19.972459984418784,107.89520494761581,107.75185703294014,20.253485980056027,19.985661931531354,8.316139168964426,8.022891878060928,,,,,,,,,,
IID,1,4,5,0.4827586206896552,0.5666666666666667,True,False,26,False,0.006023707065349617,6.848659907707326,0.30788267469813035,1.4803143912475198,0.3081643645295589,1.6193066727904508,47.35445800500118,47.04842802337005,109.89856630985201,109.65267375782953,20.71959584872429,20.38331594155492,8.576031327546373,8.217241534144204,,,,,,,,,,
IID,1,4,6,0.5517241379310345,0.6,True,False,22,False,0.01952513368512209,4.878453251929815,0.29881716130687924,1.4883431544810888,0.2987856009124746,1.6109594266650595,11.392427127566108,11.06853905492141,106.53271530860783,106.21243650797354,19.97629466702247,19.657312407380438,8.186018828932948,7.85811350697357,,,,,,,,,,
IID,1,4,7,0.6551724137931034,0.6333333333333333,True,False,20,False,0.014852297141957908,5.1249524376762166,0.30136371089245134,1.4862152490632263,0.3015058720888232,1.6093865559352767,16.43189488472987,16.121663766584433,107.4778795465023,107.22031592589965,20.1847629585061,19.87819490162692,8.295235949827482,7.9729160809202755,,,,,,,,,,
IID,1,4,8,0.5517241379310345,0.7333333333333333,True,False,19,False,0.008372923033122875,5.883128149543985,0.3054186003313643,1.5121827949503885,0.30561199863749655,1.623220829873745,32.615656172222714,32.355224210510954,108.90898133802041,108.7008669165418,20.44094256497218,20.16977382374649,8.39094589152051,8.103029737973632,,,,,,,,,,
IID,1,4,9,0.5517241379310345,0.6666666666666666,True,False,25,False,0.005032402407346686,6.908157355808169,0.3083887956615539,1.5106397678493046,0.3089636852368531,1.648090676374894,57.45591291519268,57.22214498460614,110.00902054616525,109.8752135421053,20.68166858589811,20.37273678090049,8.515831489080144,8.173069774965875,,,,,,,,,,
