model,adjustment,objective_total,objective_data,objective_nuisance_prior,success,nfev,target_parameter_count,nuisance_parameter_count,bound_hit,Vcem_19A,Cn_19A,lnCn_19A,Vcem_BT2,Cn_BT2,lnCn_BT2,delta_Vcem_BT2_minus_19A,delta_lnCn_BT2_minus_19A,nuisance_prior_norm,max_abs_nuisance_sigma,comparison_family,coordinate_A,coordinate_Gamma,q_19A,q_BT2,delta_q_BT2_minus_19A,nuisance_phi_bias_sigma,nuisance_vsh_bias_sigma,nuisance_sw_bias_sigma,nuisance_f_kf_shift_sigma,nuisance_log_clay_mod_scale_sigma,nuisance_brine_salinity_shift_sigma,nuisance_GOR_shift_sigma,nuisance_log_cement_mod_scale_sigma,nuisance_phic_pack_shift_sigma,delta_objective_from_separate,delta_Cn_minus_qstar
separate,fixed_nuisance,149.53088179519102,149.53088179519102,0.0,True,6,4,0,False,0.024638880377843158,4.758126830834836,1.5598540678590014,0.0026921926050426136,8.361220122404015,2.12360436410327,-0.021946687772800545,0.5637502962442686,0.0,0.0,observed_data,0.3025627046709035,1.488687775321985,0.014768756761873655,-0.006754263829399098,-0.021523020591272753,,,,,,,,,,0.0,0.16289369815621058
shared_qstar,fixed_nuisance,149.6239924899118,149.6239924899118,0.0,True,26,3,0,True,0.023711977128294,4.766840739093412,1.5616837666218863,0.00100000000000001,11.38554390494037,2.4323444721945413,-0.022711977128293988,0.870660705572655,0.0,0.0,observed_data,0.3025627046709035,1.488687775321985,0.00866814407505545,0.008668144075055671,2.203098814490545e-16,,,,,,,,,,0.09311069472079225,0.16289369815621058
shared_Cn,fixed_nuisance,149.78688618806802,149.78688618806802,0.0,True,18,3,0,False,0.012311962671272773,5.596274708183468,1.7221011456954725,0.011010769269465571,5.596274708183468,1.7221011456954725,-0.0013011934018072012,0.0,0.0,0.0,observed_data,0.3025627046709035,1.488687775321985,0.015214782094300843,-0.013592628110533404,-0.028807410204834245,,,,,,,,,,0.25600439287700283,0.16289369815621058
pooled_theta,fixed_nuisance,150.1562616057979,150.1562616057979,0.0,True,4,2,0,False,0.012715982319161524,5.466668247673395,1.698669335370549,0.012715982319161524,5.466668247673395,1.698669335370549,0.0,0.0,0.0,0.0,observed_data,0.3025627046709035,1.488687775321985,-5.146485140193195e-09,-5.146485140193195e-09,0.0,,,,,,,,,,0.6253798106068871,0.16289369815621058
separate,nonlinear_MAP,87.49444455113158,74.81980533051107,12.674639220620499,True,94,4,9,False,0.004739240365379769,9.04674703515209,2.202405249466886,0.0013021600383900584,13.56781708662524,2.6077005977252754,-0.00343708032698971,0.4052953482583894,3.560145954960344,2.810552181896766,observed_data,0.3027909051045744,1.6160917236709096,0.2378343654893918,0.26596089975265474,0.028126534263262948,-1.0665886559072364,0.11853635480448298,0.05542845747396978,2.810552181896766,1.5711898922034737,0.932322645645058,-0.1930458885539802,-0.043294127060571806,0.49365658282559993,0.0,-0.029396182684592986
shared_qstar,nonlinear_MAP,87.5480790227701,74.8403964507881,12.707682571981989,True,89,3,9,False,0.002845334052070101,10.603081247100535,2.3611446425664333,0.004097864358968496,9.542883924106151,2.255795737901658,0.0012525303068983951,-0.10534890466477531,3.564783664120726,2.822279375536373,observed_data,0.3027909051045744,1.6160917236709096,0.249816003128596,0.24981600312859567,-3.3306690738754696e-16,-1.0674926459566962,0.12065108713900342,0.05759955866969986,2.822279375536373,1.558476590470427,0.9361619071545869,-0.18855406204991676,-0.03836847803009889,0.4926799989568316,0.05363447163851731,-0.029396182684592986
shared_Cn,nonlinear_MAP,87.5186828400855,74.82108011110944,12.697602728976074,True,39,3,9,False,0.0033553442689954645,10.0347098000888,2.3060500630547396,0.0034810527122726993,10.0347098000888,2.3060500630547396,0.00012570844327723478,0.0,3.563369575131953,2.812642473710467,observed_data,0.3027909051045744,1.6160917236709096,0.24256708696739776,0.2531915807771225,0.010624493809724744,-1.0669827716099565,0.11985466583366818,0.05534343971127935,2.812642473710467,1.5750817162005,0.9319724613852878,-0.1924619832603588,-0.04140432168693826,0.4924974695952936,0.024238288953924325,-0.029396182684592986
pooled_theta,nonlinear_MAP,87.55741156545173,74.87149373839577,12.685917827055947,True,44,2,9,False,0.0033481685036138775,10.126883649972505,2.3151936351928577,0.0033481685036138775,10.126883649972505,2.3151936351928577,0.0,0.0,3.5617296117274186,2.826018885137805,observed_data,0.3027909051045744,1.6160917236709096,0.25109165142398804,0.25109165142398804,0.0,-1.0673942147697502,0.12031286263392742,0.059283677851804786,2.826018885137805,1.5430447719706877,0.9391097666618446,-0.18603930984036948,-0.04097275028877728,0.492961687744435,0.06296701432015084,-0.029396182684592986
separate,local_raw_geometry,0.0,0.0,0.0,True,1,4,0,False,0.024639076985084912,4.75811943101607,1.5598525126620122,0.0026921798775208007,8.361231911337105,2.123605774055957,-0.02194689710756411,0.5637532613939449,0.0,0.0,local_geometry,0.3025627046709035,1.488687775321985,0.01476883612282063,-0.0067542365764155865,-0.02152307269923622,,,,,,,,,,0.0,-0.002657477800814673
shared_qstar,local_raw_geometry,0.0046227557846680875,0.0046227557846680875,0.0,True,71,3,0,False,0.01673099417890838,5.076491011874329,1.6246202772216385,0.0026220135531313062,8.427908262607108,2.1315486110472857,-0.014108980625777074,0.5069283338256472,0.0,0.0,local_geometry,0.3025627046709035,1.488687775321985,-0.006538793914193456,-0.006538793914194127,-6.704706234650359e-16,,,,,,,,,,0.0046227557846680875,-0.002657477800814673
