train,test,adjustment,Vcem_fraction,Vcem_percent,lnCn_profile,Cn_profile,profile_objective,lnCn_train_qstar,error_train_qstar,lnCn_test_oracle_qstar,error_test_oracle_qstar,lnCn_pooled_qstar,error_pooled_qstar,lnCn_train_local_exponential,error_train_local_exponential,lnCn_constant_Cn,error_constant_Cn
19A,BT2,raw,0.001,0.1,2.420335193843057,11.24962948951844,0.0005290567149225263,2.405598670868653,-0.014736522974403865,2.418800333377716,-0.0015348604653406817,2.4105816608529724,-0.009753532990084413,2.129380330921326,-0.2909548629217307,2.1153340630480177,-0.3050011307950391
19A,BT2,raw,0.002709648210837285,0.2709648210837285,2.1153340616255853,8.292355461214349,1.864729486065945e-15,2.1153340630480177,1.4224323940936756e-09,2.1153340630480177,1.4224323940936756e-09,2.1153340630480177,1.4224323940936756e-09,2.1153340630480177,1.4224323940936756e-09,2.1153340630480177,1.4224323940936756e-09
19A,BT2,raw,0.002735294117647059,0.2735294117647059,2.1125029874100183,8.268912387680277,5.0067696235554136e-08,2.1126259184387215,0.00012293102870319927,2.1125028162145845,-1.7119543382904112e-07,2.1125796597043203,7.667229430197153e-05,2.1151233593052123,0.0026203718951940402,2.1153340630480177,0.0028310756379994473
19A,BT2,raw,0.004470588235294118,0.4470588235294118,1.9669223354381946,7.148641477014007,0.0001599241919250613,1.9728629927630437,0.005940657324849052,1.9663896981840718,-0.0005326372541227808,1.970439312385677,0.00351697694748232,2.1008663876890985,0.1339440522509039,2.1153340630480177,0.14841172760982313
19A,BT2,raw,0.0062058823529411765,0.6205882352941177,1.8726438779511558,6.505473359965444,0.0005032746594053688,1.8817051754054002,0.009061297454244333,1.8710943760101555,-0.0015495019410003419,1.8777454783235266,0.005101600372370729,2.0866094160729847,0.21396553812182884,2.1153340630480177,0.2426901850968619
19A,BT2,raw,0.007941176470588236,0.7941176470588236,1.8038724569774942,6.073119882580106,0.000976912697926785,1.8147934043280658,0.010920947350571586,1.8011488987653146,-0.002723558212179622,1.8097175078502208,0.005845050872726576,2.072352444456871,0.2684799874793766,2.1153340630480177,0.31146160607052353
19A,BT2,raw,0.009676470588235293,0.9676470588235293,1.7503953212489218,5.756878042443376,0.0015757531665116591,1.7624645512755235,0.012069230026601652,1.7464502473461454,-0.00394507390277643,1.7565250318235825,0.006129710574660718,2.058095472840757,0.30770015159183517,2.1153340630480177,0.3649387417990959
19A,BT2,raw,0.011411764705882354,1.1411764705882355,1.7071170028223412,5.5130444526823785,0.002304690448209878,1.7198880869627462,0.012771084140404954,1.7019479943987115,-0.005169008423629773,1.713253919263896,0.006136916441554785,2.043838501224643,0.3367214984023019,2.1153340630480177,0.4082170602256765
19A,BT2,raw,0.013147058823529411,1.3147058823529412,1.671126849785521,5.3181571862612,0.0031711147893913514,1.6842996670211263,0.013172817235605372,1.6647519557309027,-0.006374894054618219,1.6770919841823504,0.005965134396829441,2.029581529608529,0.35845467982300794,2.1153340630480177,0.4442072132624968
19A,BT2,raw,0.014882352941176472,1.488235294117647,1.6406056810633771,5.158292846563486,0.00418297430301467,1.6539685572881722,0.01336287622479504,1.633052610052075,-0.007553071011302093,1.6462785398058133,0.005672858742436171,2.015324557992415,0.37471887692903794,2.1153340630480177,0.4747283819846406
19A,BT2,raw,0.01661764705882353,1.6617647058823528,1.6143407235614187,5.024574247859129,0.005348221414009667,1.6277390231060629,0.013398299544644221,1.6056416110914822,-0.008699112469936487,1.6196378505694475,0.005297127008028868,2.001067586376301,0.38672686281488255,2.1153340630480177,0.5009933394865991
19A,BT2,raw,0.01835294117647059,1.835294117647059,1.5914830882642397,4.911027016502538,0.006674668889538688,1.6048008627755785,0.013317774511338865,1.5816718751241678,-0.009811213140071828,1.596345694128029,0.004862605863789282,1.9868106147601874,0.3953275264959477,2.1153340630480177,0.5238509747837781
19A,BT2,raw,0.02008823529411765,2.008823529411765,1.5714155459729375,4.813457043251985,0.008169976956355275,1.5845640945541417,0.013148548581204178,1.5605265633876204,-0.01088898258531712,1.5758018795265138,0.004386333553576316,1.9725536431440736,0.401138097171136,2.1153340630480177,0.5439185170750802
19A,BT2,raw,0.021823529411764707,2.182352941176471,1.5536753388687035,4.728818292644792,0.009841681744490436,1.5665857596642114,0.01291042079550797,1.5417425529683424,-0.011932785900361065,1.5575557833676377,0.00388044449893421,1.9582966715279597,0.40462133265925626,2.1153340630480177,0.5616587241793143
19A,BT2,raw,0.023558823529411764,2.3558823529411765,1.5379066631610276,4.654835925462578,0.011697234193465623,1.5505248178150588,0.012618154654031155,1.5249632790478103,-0.012943384113217382,1.541260464698054,0.0033538015370262464,1.9440396999118459,0.40613303675081824,2.1153340630480177,0.5774273998869901
19A,BT2,raw,0.025294117647058825,2.5294117647058822,1.523830114849965,4.589770922385366,0.013744038733874281,1.5361131145051279,0.012282999655162996,1.5099083805592703,-0.013921734290694543,1.5266431298339675,0.0028130149840026597,1.929782728295732,0.40595261344576716,2.1153340630480177,0.5915039481980529
19A,BT2,raw,0.027029411764705885,2.7029411764705884,1.5112223151282411,4.532267268814571,0.015989488367399333,1.5231360028427632,0.011913687714522059,1.496353439862288,-0.014868875265953152,1.5134854187986475,0.0022631036704063856,1.915525756679618,0.4043034415513769,2.1153340630480177,0.6041117479197766
19A,BT2,raw,0.028764705882352942,2.876470588235294,1.4999019001850487,4.481249439033823,0.01844099546433131,1.5114190063792625,0.011517106194213866,1.4841160384325878,-0.015785861752460884,1.5016098373258033,0.0017079371407546784,1.9012687850635042,0.4013668848784555,2.1153340630480177,0.6154321628629691
