trajectory,property,lag_samples,lag_m,residual_acf
19A,Vp,1,4,0.3767227382276489
19A,Vp,2,8,0.20933322455040573
19A,Vp,3,12,0.07853903959999432
19A,Vp,4,16,-0.09049170982665253
19A,Vp,5,20,-0.042273894442839514
19A,Vp,6,24,-0.12691173620974316
19A,Vp,7,28,-0.12039799747886927
19A,Vp,8,32,-0.221277082463169
19A,Vp,9,36,-0.2042112539242725
19A,Vp,10,40,-0.41991941565177954
19A,Vs,1,4,0.7565290912316808
19A,Vs,2,8,0.5687430269798307
19A,Vs,3,12,0.44929336432482053
19A,Vs,4,16,0.2330743454020515
19A,Vs,5,20,0.1482881473272292
19A,Vs,6,24,0.12685291561595005
19A,Vs,7,28,0.0415064280247984
19A,Vs,8,32,-0.10378470959215227
19A,Vs,9,36,-0.22281205136797783
19A,Vs,10,40,-0.34231727383266947
19A,rho,1,4,0.2996588797742644
19A,rho,2,8,0.17158918726166733
19A,rho,3,12,0.128952810444209
19A,rho,4,16,0.011430189008281997
19A,rho,5,20,-0.0018230898788140519
19A,rho,6,24,0.045307633030660925
19A,rho,7,28,-0.09805885540358536
19A,rho,8,32,-0.20721021755270358
19A,rho,9,36,-0.1789836420485991
19A,rho,10,40,-0.026403733422585268
BT2,Vp,1,4,0.09473812028905886
BT2,Vp,2,8,0.03995477798183334
BT2,Vp,3,12,0.07259417222327981
BT2,Vp,4,16,0.1283759765905423
BT2,Vp,5,20,0.1678571447702374
BT2,Vp,6,24,-0.1816247593003866
BT2,Vp,7,28,-0.10952566008380137
BT2,Vp,8,32,-0.12160853103572955
BT2,Vp,9,36,-0.19256455956522917
BT2,Vp,10,40,-0.23538094203027748
BT2,Vs,1,4,0.2474003671020044
BT2,Vs,2,8,0.22659734332204726
BT2,Vs,3,12,0.13743808691065412
BT2,Vs,4,16,0.035154509704665354
BT2,Vs,5,20,-0.005426860523076114
BT2,Vs,6,24,-0.16876379554456913
BT2,Vs,7,28,-0.16758989379023675
BT2,Vs,8,32,-0.13295184617579814
BT2,Vs,9,36,-0.12814670681144527
BT2,Vs,10,40,-0.17610768439820884
BT2,rho,1,4,0.22784396677355118
BT2,rho,2,8,-0.13762389739668995
BT2,rho,3,12,-0.09630231490154577
BT2,rho,4,16,-0.03288834203276866
BT2,rho,5,20,-0.10925833607676118
BT2,rho,6,24,-0.09181205940300036
BT2,rho,7,28,0.12093689368286718
BT2,rho,8,32,-0.09973596317384832
BT2,rho,9,36,-0.015309854009173963
BT2,rho,10,40,0.09787582334621751
