theta_state,Vcem_fraction,Cn,nuisance_scenario,W_K_min,W_K_max,W_G_min,W_G_max,fraction_outside_unit_interval
pooled,0.012546045825196089,5.436001877454284,central,0.832855701485364,0.8810250318998076,0.7601106563730337,0.8030318080463104,0.0
pooled,0.012546045825196089,5.436001877454284,ln_soft_cn_offset_minus_1sd,0.8461066715003918,0.8884547120009889,0.7751251837953683,0.8189929614935179,0.0
pooled,0.012546045825196089,5.436001877454284,ln_soft_cn_offset_plus_1sd,0.8150483895377235,0.8714827281825157,0.7410124003737014,0.7828611123640185,0.0
pooled,0.012546045825196089,5.436001877454284,ln_stiff_cn_offset_minus_1sd,0.8998522864256754,0.9866997298969443,0.8377876022890399,0.8619981125199749,0.0
pooled,0.012546045825196089,5.436001877454284,ln_stiff_cn_offset_plus_1sd,0.7688951780405222,0.7935322171304632,0.6859065797090732,0.7516391790382396,0.0
pooled,0.012546045825196089,5.436001877454284,soft_phic_shift_minus_1sd,0.8376112427188984,0.885011687510892,0.7652980490740019,0.8074732702255083,0.0
pooled,0.012546045825196089,5.436001877454284,soft_phic_shift_plus_1sd,0.8282800667387191,0.877068211768773,0.7551600281859021,0.7988522233492714,0.0
pooled,0.012546045825196089,5.436001877454284,stiff_cement_volume_shift_minus_1sd,0.8145761191892467,0.8398796988258818,0.7495058717247702,0.7984916673780277,0.0
pooled,0.012546045825196089,5.436001877454284,stiff_cement_volume_shift_plus_1sd,0.8561255452141155,0.9397636926996157,0.7763331031016882,0.812698799660095,0.0
pooled,0.012546045825196089,5.436001877454284,phic_pack_shift_minus_1sd,0.8427133165157173,0.9146055791094517,0.7652808263425096,0.8052185767617069,0.0
pooled,0.012546045825196089,5.436001877454284,phic_pack_shift_plus_1sd,0.8240998114518775,0.8573743374167435,0.7563363204644169,0.8015540205739488,0.0
E2_q0,0.001075933937318,10.606333144956094,central,0.3378637559646968,0.42889775090191196,0.28300214250015465,0.391625465387992,0.0
E2_q0,0.001075933937318,10.606333144956094,ln_soft_cn_offset_minus_1sd,0.37517355379559764,0.4784014811583273,0.3193706712782721,0.4419894156876544,0.0
E2_q0,0.001075933937318,10.606333144956094,ln_soft_cn_offset_plus_1sd,0.2912352901662592,0.3674422080202301,0.2379081512326708,0.32943491414599146,0.0
E2_q0,0.001075933937318,10.606333144956094,ln_stiff_cn_offset_minus_1sd,0.3751868145171287,0.45606086226307174,0.31356782473090405,0.4167228685134275,0.0
E2_q0,0.001075933937318,10.606333144956094,ln_stiff_cn_offset_plus_1sd,0.30551214649010977,0.40479141327356255,0.25637614833189254,0.3693669374202484,0.0
E2_q0,0.001075933937318,10.606333144956094,soft_phic_shift_minus_1sd,0.3567124867732115,0.4449175073145488,0.295906349464902,0.4049937151665098,0.0
E2_q0,0.001075933937318,10.606333144956094,soft_phic_shift_plus_1sd,0.31946250490940153,0.4136528413227291,0.2708003460372885,0.3791687338130389,0.0
E2_q0,0.001075933937318,10.606333144956094,stiff_cement_volume_shift_minus_1sd,0.33194356910223505,0.42650753106017714,0.28533720343362184,0.3939768112748994,0.0
E2_q0,0.001075933937318,10.606333144956094,stiff_cement_volume_shift_plus_1sd,0.3475110377815403,0.43368821599208124,0.2826486544866151,0.39092918029232576,0.0
E2_q0,0.001075933937318,10.606333144956094,phic_pack_shift_minus_1sd,0.32049822703723324,0.41401476480874255,0.2671878636519217,0.3767765647147427,0.0
E2_q0,0.001075933937318,10.606333144956094,phic_pack_shift_plus_1sd,0.35251389989437915,0.44166210473015866,0.2969268226015733,0.4045123307397912,0.0
E2_q0.125,0.0051358585448856,6.630666392432692,central,0.6529807482686592,0.6944202792147329,0.5665933109798589,0.6509432675088357,0.0
E2_q0.125,0.0051358585448856,6.630666392432692,ln_soft_cn_offset_minus_1sd,0.6761434832640714,0.7204194238048874,0.5906135494414558,0.6794668723885456,0.0
E2_q0.125,0.0051358585448856,6.630666392432692,ln_soft_cn_offset_plus_1sd,0.6224400808310345,0.6616259890649789,0.5362596135778755,0.6151223317449426,0.0
E2_q0.125,0.0051358585448856,6.630666392432692,ln_stiff_cn_offset_minus_1sd,0.7134681574410169,0.7430969846843086,0.6309241493138922,0.6965610703067806,0.0
E2_q0.125,0.0051358585448856,6.630666392432692,ln_stiff_cn_offset_plus_1sd,0.5945663017517608,0.6526073862667156,0.5110344928005702,0.6109710037278179,0.0
E2_q0.125,0.0051358585448856,6.630666392432692,soft_phic_shift_minus_1sd,0.6633589088912138,0.7028626323115886,0.5755951443345405,0.6587917601829929,0.0
E2_q0.125,0.0051358585448856,6.630666392432692,soft_phic_shift_plus_1sd,0.6428330312373809,0.6863553476103453,0.5579876436546064,0.6435762059094191,0.0
E2_q0.125,0.0051358585448856,6.630666392432692,stiff_cement_volume_shift_minus_1sd,0.6339730625680687,0.6854174710877581,0.5611398840917532,0.6492872389102542,0.0
E2_q0.125,0.0051358585448856,6.630666392432692,stiff_cement_volume_shift_plus_1sd,0.675774093911265,0.7084526218849926,0.5776503236465518,0.6563171020816706,0.0
E2_q0.125,0.0051358585448856,6.630666392432692,phic_pack_shift_minus_1sd,0.6570205746730774,0.6939025805953597,0.5629365247142643,0.6462145322209607,0.0
E2_q0.125,0.0051358585448856,6.630666392432692,phic_pack_shift_plus_1sd,0.6495431335805605,0.6952985486069511,0.5702069595808809,0.6552058759656192,0.0
E2_q0.25,0.0068078272222373,5.953967559666546,central,0.7123683487948839,0.7425525439005178,0.6292199945808885,0.6990300315527586,0.0
E2_q0.25,0.0068078272222373,5.953967559666546,ln_soft_cn_offset_minus_1sd,0.7337252870651689,0.7643256415289266,0.6501745182387582,0.7235147801574373,0.0
E2_q0.25,0.0068078272222373,5.953967559666546,ln_soft_cn_offset_plus_1sd,0.6849788220622327,0.7153901583674367,0.6026489044164183,0.6681750645651224,0.0
E2_q0.25,0.0068078272222373,5.953967559666546,ln_stiff_cn_offset_minus_1sd,0.7748888100302679,0.8234889146413068,0.6994824332707166,0.7492283105518085,0.0
E2_q0.25,0.0068078272222373,5.953967559666546,ln_stiff_cn_offset_plus_1sd,0.6519181060434581,0.6969127723641216,0.5668952832925538,0.6551533292507168,0.0
E2_q0.25,0.0068078272222373,5.953967559666546,soft_phic_shift_minus_1sd,0.720624982653375,0.7496245349902637,0.6371519948611726,0.7058099291598803,0.0
E2_q0.25,0.0068078272222373,5.953967559666546,soft_phic_shift_plus_1sd,0.7043658267971414,0.7357919541874925,0.6216195987950015,0.6926570714172318,0.0
E2_q0.25,0.0068078272222373,5.953967559666546,stiff_cement_volume_shift_minus_1sd,0.6934568418828551,0.7318534704118759,0.6208013165141496,0.696052171687623,0.0
E2_q0.25,0.0068078272222373,5.953967559666546,stiff_cement_volume_shift_plus_1sd,0.7358263198617648,0.7814489398728588,0.6443426147907232,0.7062537315174016,0.0
E2_q0.25,0.0068078272222373,5.953967559666546,phic_pack_shift_minus_1sd,0.7188315427217513,0.7550993203431698,0.6297212855618107,0.6968044236714759,0.0
E2_q0.25,0.0068078272222373,5.953967559666546,phic_pack_shift_plus_1sd,0.7077162539804832,0.7408957857995329,0.6294584241271448,0.7012059783675532,0.0
E2_q0.375,0.0085332495731544,6.036582720210794,central,0.7575257941636521,0.7846317030023424,0.6743097502624973,0.7379446963744886,0.0
E2_q0.375,0.0085332495731544,6.036582720210794,ln_soft_cn_offset_minus_1sd,0.7755793918963523,0.8005592899504614,0.6926702809413222,0.7592760950195738,0.0
E2_q0.375,0.0085332495731544,6.036582720210794,ln_soft_cn_offset_plus_1sd,0.7342709736985633,0.7677824117773859,0.6510401410944813,0.7110751675721838,0.0
E2_q0.375,0.0085332495731544,6.036582720210794,ln_stiff_cn_offset_minus_1sd,0.821729745588177,0.8776334548960213,0.7480899437564084,0.7907689309525706,0.0
E2_q0.375,0.0085332495731544,6.036582720210794,ln_stiff_cn_offset_plus_1sd,0.6950019114935272,0.734176355199207,0.6076056311319062,0.6917582868667933,0.0
E2_q0.375,0.0085332495731544,6.036582720210794,soft_phic_shift_minus_1sd,0.7644822555761853,0.7916698031667245,0.6812512300157354,0.7438468329849334,0.0
E2_q0.375,0.0085332495731544,6.036582720210794,soft_phic_shift_plus_1sd,0.7507844427278497,0.7776633315403272,0.6676604007907367,0.7323977850803488,0.0
E2_q0.375,0.0085332495731544,6.036582720210794,stiff_cement_volume_shift_minus_1sd,0.7394702222509396,0.7709900246432292,0.6656069988383221,0.7349600431136237,0.0
E2_q0.375,0.0085332495731544,6.036582720210794,stiff_cement_volume_shift_plus_1sd,0.7810223298318995,0.8323597080434934,0.6897638172729343,0.7453770841210612,0.0
E2_q0.375,0.0085332495731544,6.036582720210794,phic_pack_shift_minus_1sd,0.7653920440483364,0.8070536410741697,0.6765280180179472,0.7369503023095803,0.0
E2_q0.375,0.0085332495731544,6.036582720210794,phic_pack_shift_plus_1sd,0.7512482451128417,0.7791065599090146,0.6731669842794542,0.7390991550770184,0.0
E2_q0.5,0.0108628412142691,5.735145943646962,central,0.8051609110372415,0.8433135922725713,0.7278316683122239,0.7787416189848971,0.0
E2_q0.5,0.0108628412142691,5.735145943646962,ln_soft_cn_offset_minus_1sd,0.8205043167983348,0.852997633750823,0.7433173623387426,0.7967127697715315,0.0
E2_q0.5,0.0108628412142691,5.735145943646962,ln_soft_cn_offset_plus_1sd,0.7855291408128805,0.8309048759218112,0.7068944527559395,0.7560683503246308,0.0
E2_q0.5,0.0108628412142691,5.735145943646962,ln_stiff_cn_offset_minus_1sd,0.8706174050820732,0.9438496672488175,0.8045230794079079,0.835154972255696,0.0
E2_q0.5,0.0108628412142691,5.735145943646962,ln_stiff_cn_offset_plus_1sd,0.7421336455053834,0.7717825812798,0.65548329074826,0.7294740371835592,0.0
E2_q0.5,0.0108628412142691,5.735145943646962,soft_phic_shift_minus_1sd,0.8107066499791149,0.8484975192215922,0.7337129355799329,0.7837281792760502,0.0
E2_q0.5,0.0108628412142691,5.735145943646962,soft_phic_shift_plus_1sd,0.7998072007078179,0.8381748625310618,0.7221918442358249,0.7740521555659483,0.0
E2_q0.5,0.0108628412142691,5.735145943646962,stiff_cement_volume_shift_minus_1sd,0.7867752193216667,0.8104760358958316,0.7171652131218385,0.7749729548529944,0.0
E2_q0.5,0.0108628412142691,5.735145943646962,stiff_cement_volume_shift_plus_1sd,0.8281932462253985,0.8970277996866999,0.74256561077503,0.7873394436110158,0.0
E2_q0.5,0.0108628412142691,5.735145943646962,phic_pack_shift_minus_1sd,0.8145077753633445,0.8720439927230992,0.7314315088463104,0.7796110210336218,0.0
E2_q0.5,0.0108628412142691,5.735145943646962,phic_pack_shift_plus_1sd,0.7972961174498666,0.8231133604331569,0.724109477282558,0.7783514889906811,0.0
E2_q0.625,0.0131307462572014,5.176528018866579,central,0.8413336792520066,0.8967698980257143,0.7721254924223677,0.811029277145789,0.0
E2_q0.625,0.0131307462572014,5.176528018866579,ln_soft_cn_offset_minus_1sd,0.8545087792963731,0.9032770789234403,0.7864671916351029,0.8263097360081122,0.0
E2_q0.625,0.0131307462572014,5.176528018866579,ln_soft_cn_offset_plus_1sd,0.824431010237031,0.888394634133691,0.7538504719460533,0.7916900185262634,0.0
E2_q0.625,0.0131307462572014,5.176528018866579,ln_stiff_cn_offset_minus_1sd,0.9097261633520161,1.0049399605201568,0.849722705911418,0.8775774170377608,0.01694915254237288
E2_q0.625,0.0131307462572014,5.176528018866579,ln_stiff_cn_offset_plus_1sd,0.7776956293159557,0.8043534415095659,0.6977937628118502,0.7585657106398283,0.0
E2_q0.625,0.0131307462572014,5.176528018866579,soft_phic_shift_minus_1sd,0.8458423106982272,0.900268894208589,0.7770989438854854,0.8152919345192335,0.0
E2_q0.625,0.0131307462572014,5.176528018866579,soft_phic_shift_plus_1sd,0.8369940361870105,0.8932931660267107,0.7673748355777491,0.8070156105689666,0.0
E2_q0.625,0.0131307462572014,5.176528018866579,stiff_cement_volume_shift_minus_1sd,0.8233678833241824,0.853144781868972,0.7616424613604232,0.8058525725667312,0.0
E2_q0.625,0.0131307462572014,5.176528018866579,stiff_cement_volume_shift_plus_1sd,0.8655996568949238,0.9589783868849169,0.789871647279664,0.8215202213816937,0.0
E2_q0.625,0.0131307462572014,5.176528018866579,phic_pack_shift_minus_1sd,0.852103794110097,0.9333860046533814,0.7785369280289697,0.8139268116675482,0.0
E2_q0.625,0.0131307462572014,5.176528018866579,phic_pack_shift_plus_1sd,0.8325048352280339,0.8710182269854093,0.7674875974566624,0.8089678410472417,0.0
E2_q0.75,0.0164648047613571,5.275255804993275,central,0.8808139112946642,0.942475801954778,0.8154731662219286,0.8470839671150376,0.0
E2_q0.75,0.0164648047613571,5.275255804993275,ln_soft_cn_offset_minus_1sd,0.8907166838241736,0.9460887940796623,0.8270618881467908,0.8594591885581655,0.0
E2_q0.75,0.0164648047613571,5.275255804993275,ln_soft_cn_offset_plus_1sd,0.8681166159634941,0.9378294026207933,0.8007163082717533,0.831430608941751,0.0
E2_q0.75,0.0164648047613571,5.275255804993275,ln_stiff_cn_offset_minus_1sd,0.9521248345898554,1.055911519566802,0.8936774482120862,0.9268822894954148,0.6610169491525424
E2_q0.75,0.0164648047613571,5.275255804993275,ln_stiff_cn_offset_plus_1sd,0.8166025184919209,0.8455219155059422,0.738231085698671,0.7925156059550515,0.0
E2_q0.75,0.0164648047613571,5.275255804993275,soft_phic_shift_minus_1sd,0.8842023431495429,0.9444169966367113,0.8194862117460886,0.850532894390319,0.0
E2_q0.75,0.0164648047613571,5.275255804993275,soft_phic_shift_plus_1sd,0.8775529364701594,0.9405477981836098,0.8116411967366676,0.8438372262958488,0.0
E2_q0.75,0.0164648047613571,5.275255804993275,stiff_cement_volume_shift_minus_1sd,0.8635267076840228,0.8973322437177329,0.8053265858192055,0.8419143737518806,0.0
E2_q0.75,0.0164648047613571,5.275255804993275,stiff_cement_volume_shift_plus_1sd,0.9059131741786312,1.0068744761774944,0.8318751686189635,0.8577489645393546,0.01694915254237288
E2_q0.75,0.0164648047613571,5.275255804993275,phic_pack_shift_minus_1sd,0.8931763104879817,0.9818028003594397,0.8233141695125178,0.8510339301631369,0.0
E2_q0.75,0.0164648047613571,5.275255804993275,phic_pack_shift_plus_1sd,0.8714375233892896,0.9146840051657668,0.8096688780273631,0.8441490269279133,0.0
E2_q0.875,0.0226362895591096,4.80870901763805,central,0.9341782495227984,1.0170465669596114,0.8791052771688243,0.9015817699846342,0.1864406779661017
E2_q0.875,0.0226362895591096,4.80870901763805,ln_soft_cn_offset_minus_1sd,0.9396310784776326,1.0159568404641612,0.8876869184415296,0.9072093666822896,0.1864406779661017
E2_q0.875,0.0226362895591096,4.80870901763805,ln_soft_cn_offset_plus_1sd,0.9271673240808703,1.0184536180987362,0.8681464698634463,0.8944058215698321,0.1864406779661017
E2_q0.875,0.0226362895591096,4.80870901763805,ln_stiff_cn_offset_minus_1sd,1.0068694499235533,1.1407809500516626,0.955325506272453,1.0071422876771465,1.0
E2_q0.875,0.0226362895591096,4.80870901763805,ln_stiff_cn_offset_plus_1sd,0.8673892752182077,0.9114978542722891,0.8006605520853585,0.8381673521722455,0.0
E2_q0.875,0.0226362895591096,4.80870901763805,soft_phic_shift_minus_1sd,0.9360450127022957,1.0164588284323304,0.881797306393475,0.9037622575255564,0.1864406779661017
E2_q0.875,0.0226362895591096,4.80870901763805,soft_phic_shift_plus_1sd,0.9323804946527176,1.0176315521331263,0.8765473844331951,0.8994835783593027,0.1864406779661017
E2_q0.875,0.0226362895591096,4.80870901763805,stiff_cement_volume_shift_minus_1sd,0.9151940161531479,0.9646436336250861,0.8690507867647566,0.8904762070694018,0.0
E2_q0.875,0.0226362895591096,4.80870901763805,stiff_cement_volume_shift_plus_1sd,0.9615274349706823,1.0916984058319,0.8944895119584874,0.93287724075777,0.8135593220338984
E2_q0.875,0.0226362895591096,4.80870901763805,phic_pack_shift_minus_1sd,0.9496494596314348,1.0650200027345365,0.8872749926606711,0.9187643247694491,0.6779661016949152
E2_q0.875,0.0226362895591096,4.80870901763805,phic_pack_shift_plus_1sd,0.9223368712074358,0.9832206557584772,0.8726506731714071,0.8922625000891113,0.0
E2_q1,0.0599999999999999,4.151252338242062,central,1.0292691826390232,1.1211613119280597,1.0034624000112475,1.0413184490731058,1.0
E2_q1,0.0599999999999999,4.151252338242062,ln_soft_cn_offset_minus_1sd,1.0268455640418608,1.1131982937673355,1.0031839708720485,1.0388828409533912,1.0
E2_q1,0.0599999999999999,4.151252338242062,ln_soft_cn_offset_plus_1sd,1.0323665896734813,1.1315086324834365,1.003819611163762,1.0444451539360577,1.0
E2_q1,0.0599999999999999,4.151252338242062,ln_stiff_cn_offset_minus_1sd,1.1079999811612784,1.2599601638076503,1.0845799143539845,1.1671257540253575,1.0
E2_q1,0.0599999999999999,4.151252338242062,ln_stiff_cn_offset_plus_1sd,0.959513017436431,1.0031368995648355,0.925753353718924,0.9372966665421257,0.03389830508474576
E2_q1,0.0599999999999999,4.151252338242062,soft_phic_shift_minus_1sd,1.0284818044766653,1.116842367063536,1.0033814282378237,1.0403532075818525,1.0
E2_q1,0.0599999999999999,4.151252338242062,soft_phic_shift_plus_1sd,1.0300234699846973,1.1254743481295244,1.003539081165833,1.042250858840466,1.0
E2_q1,0.0599999999999999,4.151252338242062,stiff_cement_volume_shift_minus_1sd,1.009943773399542,1.0571741108055352,0.9940673463192383,1.013347453055814,1.0
E2_q1,0.0599999999999999,4.151252338242062,stiff_cement_volume_shift_plus_1sd,1.0577500956869115,1.2123179417736514,1.0208465166093308,1.0837665467261122,1.0
E2_q1,0.0599999999999999,4.151252338242062,phic_pack_shift_minus_1sd,1.0414385731032993,1.1653137738525903,1.0116126248184973,1.0600424314706451,1.0
E2_q1,0.0599999999999999,4.151252338242062,phic_pack_shift_plus_1sd,1.0197995978551488,1.0902361371629505,0.9970593530892121,1.0270883067000507,1.0
