block_length_samples,block_length_m,replicate,best_pressure_1_mpa,best_pressure_2_mpa,best_lambda_min,full_sample_design_lambda_min,full_sample_design_selected,full_sample_design_regret_fraction
3,12,0,5.0,7.5,0.010623054943726284,0.010623054943726284,True,0.0
3,12,1,5.0,7.5,0.011594484481809442,0.011594484481809442,True,0.0
3,12,2,5.0,7.5,0.010972609811180867,0.010972609811180867,True,0.0
3,12,3,5.0,7.5,0.012187699284625708,0.012187699284625708,True,0.0
3,12,4,5.0,7.5,0.012147683261996,0.012147683261996,True,0.0
3,12,5,5.0,7.5,0.010811817463661555,0.010811817463661555,True,0.0
3,12,6,5.0,7.5,0.011508532809045402,0.011508532809045402,True,0.0
3,12,7,5.0,7.5,0.011526441892130368,0.011526441892130368,True,0.0
3,12,8,5.0,7.5,0.011926236140356039,0.011926236140356039,True,0.0
3,12,9,5.0,7.5,0.011332903161493046,0.011332903161493046,True,0.0
3,12,10,5.0,7.5,0.011826016261759609,0.011826016261759609,True,0.0
3,12,11,5.0,7.5,0.01156985334070626,0.01156985334070626,True,0.0
3,12,12,5.0,7.5,0.011751317211442736,0.011751317211442736,True,0.0
3,12,13,5.0,7.5,0.012064352987446014,0.012064352987446014,True,0.0
3,12,14,5.0,7.5,0.011851389593885209,0.011851389593885209,True,0.0
3,12,15,5.0,7.5,0.01133286300591152,0.01133286300591152,True,0.0
3,12,16,5.0,7.5,0.011767332994352842,0.011767332994352842,True,0.0
3,12,17,5.0,7.5,0.012093416706554283,0.012093416706554283,True,0.0
3,12,18,5.0,7.5,0.011352276712336185,0.011352276712336185,True,0.0
3,12,19,5.0,7.5,0.0105780615565636,0.0105780615565636,True,0.0
3,12,20,5.0,7.5,0.011562410757454344,0.011562410757454344,True,0.0
3,12,21,5.0,7.5,0.01141613022572896,0.01141613022572896,True,0.0
3,12,22,5.0,7.5,0.011887673393903064,0.011887673393903064,True,0.0
3,12,23,5.0,7.5,0.011412222170313235,0.011412222170313235,True,0.0
3,12,24,5.0,7.5,0.01076104791818322,0.01076104791818322,True,0.0
3,12,25,5.0,7.5,0.01180074248237073,0.01180074248237073,True,0.0
3,12,26,5.0,7.5,0.010841142945185123,0.010841142945185123,True,0.0
3,12,27,5.0,7.5,0.011514027510014735,0.011514027510014735,True,0.0
3,12,28,5.0,7.5,0.011678384293600796,0.011678384293600796,True,0.0
3,12,29,5.0,7.5,0.010867021646361774,0.010867021646361774,True,0.0
3,12,30,5.0,7.5,0.011425459761039036,0.011425459761039036,True,0.0
3,12,31,5.0,7.5,0.011216687483391663,0.011216687483391663,True,0.0
3,12,32,5.0,7.5,0.011093793200491309,0.011093793200491309,True,0.0
3,12,33,5.0,7.5,0.010987606673915629,0.010987606673915629,True,0.0
3,12,34,5.0,7.5,0.011540495461761946,0.011540495461761946,True,0.0
3,12,35,5.0,7.5,0.011266949203161403,0.011266949203161403,True,0.0
3,12,36,5.0,7.5,0.01185976385997689,0.01185976385997689,True,0.0
3,12,37,5.0,7.5,0.012127253886068168,0.012127253886068168,True,0.0
3,12,38,5.0,7.5,0.011271627171889786,0.011271627171889786,True,0.0
3,12,39,5.0,7.5,0.01208647693850029,0.01208647693850029,True,0.0
3,12,40,5.0,7.5,0.011218537762375025,0.011218537762375025,True,0.0
3,12,41,5.0,7.5,0.011452442183224498,0.011452442183224498,True,0.0
3,12,42,5.0,7.5,0.011729541917371744,0.011729541917371744,True,0.0
3,12,43,5.0,7.5,0.011964805444037108,0.011964805444037108,True,0.0
3,12,44,5.0,7.5,0.011751830950351927,0.011751830950351927,True,0.0
3,12,45,5.0,7.5,0.011582743324636713,0.011582743324636713,True,0.0
3,12,46,5.0,7.5,0.010639082431492586,0.010639082431492586,True,0.0
3,12,47,5.0,7.5,0.011690399224502546,0.011690399224502546,True,0.0
3,12,48,5.0,7.5,0.011567430710968551,0.011567430710968551,True,0.0
3,12,49,5.0,7.5,0.010498188156260468,0.010498188156260468,True,0.0
3,12,50,5.0,7.5,0.010853387202602427,0.010853387202602427,True,0.0
3,12,51,5.0,7.5,0.011549729489320537,0.011549729489320537,True,0.0
3,12,52,5.0,7.5,0.01067161937819483,0.01067161937819483,True,0.0
3,12,53,5.0,7.5,0.011597594348752516,0.011597594348752516,True,0.0
3,12,54,5.0,7.5,0.01207801094230243,0.01207801094230243,True,0.0
3,12,55,5.0,7.5,0.010700792982611507,0.010700792982611507,True,0.0
3,12,56,5.0,7.5,0.011391786323413644,0.011391786323413644,True,0.0
3,12,57,5.0,7.5,0.011693943141520169,0.011693943141520169,True,0.0
3,12,58,5.0,7.5,0.010647389323465983,0.010647389323465983,True,0.0
3,12,59,5.0,7.5,0.011374399821466596,0.011374399821466596,True,0.0
3,12,60,5.0,7.5,0.011594470345435148,0.011594470345435148,True,0.0
3,12,61,5.0,7.5,0.011248528113695144,0.011248528113695144,True,0.0
3,12,62,5.0,7.5,0.011656292960920744,0.011656292960920744,True,0.0
3,12,63,5.0,7.5,0.011746326105355642,0.011746326105355642,True,0.0
3,12,64,5.0,7.5,0.011789729660509174,0.011789729660509174,True,0.0
3,12,65,5.0,7.5,0.011895567286810405,0.011895567286810405,True,0.0
3,12,66,5.0,7.5,0.011236506205793084,0.011236506205793084,True,0.0
3,12,67,5.0,7.5,0.01224869552440433,0.01224869552440433,True,0.0
3,12,68,5.0,7.5,0.011196014685653566,0.011196014685653566,True,0.0
3,12,69,5.0,7.5,0.01167328455303851,0.01167328455303851,True,0.0
3,12,70,5.0,7.5,0.011919765432161,0.011919765432161,True,0.0
3,12,71,5.0,7.5,0.012060355345767881,0.012060355345767881,True,0.0
3,12,72,5.0,7.5,0.010935126099270498,0.010935126099270498,True,0.0
3,12,73,5.0,7.5,0.011276884540257104,0.011276884540257104,True,0.0
3,12,74,5.0,7.5,0.011520125897130029,0.011520125897130029,True,0.0
3,12,75,5.0,7.5,0.010846169171474518,0.010846169171474518,True,0.0
3,12,76,5.0,7.5,0.012077335228739994,0.012077335228739994,True,0.0
3,12,77,5.0,7.5,0.010759526849656531,0.010759526849656531,True,0.0
3,12,78,5.0,7.5,0.011423187820782665,0.011423187820782665,True,0.0
3,12,79,5.0,7.5,0.011373886719645565,0.011373886719645565,True,0.0
3,12,80,5.0,7.5,0.011476308399450463,0.011476308399450463,True,0.0
3,12,81,5.0,7.5,0.011462467015034505,0.011462467015034505,True,0.0
3,12,82,5.0,7.5,0.011741477852345028,0.011741477852345028,True,0.0
3,12,83,5.0,7.5,0.011212917219903584,0.011212917219903584,True,0.0
3,12,84,5.0,7.5,0.010996603926006543,0.010996603926006543,True,0.0
3,12,85,5.0,7.5,0.011811797731681395,0.011811797731681395,True,0.0
3,12,86,5.0,7.5,0.012282891044097521,0.012282891044097521,True,0.0
3,12,87,5.0,7.5,0.011319881631238538,0.011319881631238538,True,0.0
3,12,88,5.0,7.5,0.01130996384038685,0.01130996384038685,True,0.0
