design,pressures_mpa,fabric_mode,state_log_sigma,state_precision_percent,adjustment,pressure_nuisance_prior_precision_factor,pressure_nuisance_prior_sd_factor,lambda_min,lambda_max,spectral_ratio,condition_number,lambda_min_gain,worst_sd_reduction,determinant_gain,strong_direction_rotation_deg,weak_direction_rotation_deg
best_single,5,shared,0.0025,0.25,raw,1.0,1.0,81.909738946613,5885.372278467188,0.013917511938250053,8.476551378800233,9064.887882621311,95.2097047712118,224885.5970381276,34.9463496573912,34.9463496573912
best_single,5,shared,0.0025,0.25,shared_static_nuisance,1.0,1.0,3.7272530718939145,460.27807471347296,0.008097828848819622,11.112600540294844,1065.3875033611419,32.64027425376726,59619.240519437335,35.39421040216907,35.39421040216907
best_single,5,shared,0.0025,0.25,full_pressure_nuisance,0.25,2.0,1.4416302808841013,14.195504469216427,0.10155541030685733,3.137967688937189,412.0715325993429,20.29954513281869,711.1840317414858,16.42487876826467,16.42487876826467
best_single,5,shared,0.0025,0.25,full_pressure_nuisance,1.0,1.0,2.175279334906394,26.043369397816505,0.08352526517128658,3.46011926453869,621.7757085518795,24.935430787373203,1968.7450319991226,26.132595622642494,26.132595622642494
best_single,5,shared,0.0025,0.25,full_pressure_nuisance,4.0,0.5,2.5122632225060446,46.21562860128291,0.05435960298582428,4.28905743455778,718.0982323402352,26.797354950446792,4034.886059731579,30.754848232140528,30.754848232140528
best_single,5,shared,0.005,0.5,raw,1.0,1.0,74.259626579701,1595.4922546807193,0.046543395219779,4.635226594487455,8218.255824122003,90.65459626583753,55271.29266114977,31.793651704164493,31.793651704164493
best_single,5,shared,0.005,0.5,shared_static_nuisance,1.0,1.0,3.0632825923051925,313.31595450060627,0.009776976078948016,10.11341255453336,875.6000545590439,29.59053995044774,33353.916980841226,35.35308892201446,35.35308892201446
best_single,5,shared,0.005,0.5,full_pressure_nuisance,0.25,2.0,1.39409785915764,13.571311118021185,0.10272388916841158,3.120069536639878,398.48499926364656,19.962089050589032,657.4948222102519,15.69599058312841,15.69599058312841
best_single,5,shared,0.005,0.5,full_pressure_nuisance,1.0,1.0,2.1504927005030283,24.610678066737414,0.0873804734136736,3.3829283792722014,614.690766897969,24.792958010248977,1839.2417739509053,25.75169209329682,25.751692093296807
best_single,5,shared,0.005,0.5,full_pressure_nuisance,4.0,0.5,2.4948522738985,43.45054908705103,0.05741819899445199,4.1732578305871115,713.1215359071391,26.704335526411047,3767.1886961159216,30.566784461327305,30.566784461327295
best_single,5,shared,0.01,1.0,raw,1.0,1.0,54.53495709932357,540.8343901227506,0.10083485461593156,3.149159530735858,6035.341806071926,77.68746234800005,13759.144627888532,22.22995568910359,22.22995568910357
best_single,5,shared,0.01,1.0,shared_static_nuisance,1.0,1.0,2.848281026493561,186.3291334267352,0.015286289235137284,8.088145655405855,814.1446135142536,28.53321947334814,18443.39515277215,34.9330444727439,34.9330444727439
best_single,5,shared,0.01,1.0,full_pressure_nuisance,0.25,2.0,1.3619162376867289,13.244855871726827,0.10282605193114616,3.1185191798390144,389.2862953678615,19.730339464080732,626.8662736194183,15.235425325775582,15.235425325775582
best_single,5,shared,0.01,1.0,full_pressure_nuisance,1.0,1.0,2.1217017386571144,23.58065837828193,0.08997635708980997,3.3337712512858646,606.4612395842258,24.626433756925216,1738.6714746202824,25.338805154124532,25.338805154124532
best_single,5,shared,0.01,1.0,full_pressure_nuisance,4.0,0.5,2.4642396397096666,40.29174441335186,0.06115991440899412,4.043584894730278,704.371306909896,26.539994478332055,3450.4543013154453,30.154743220282974,30.154743220282974
best_single,5,shared,0.02,2.0,raw,1.0,1.0,24.361592153302638,302.4121215591851,0.08055759150029583,3.523276794078696,2696.078687978374,51.92377767437934,3436.821873384698,8.916613160995293,8.916613160995293
best_single,5,shared,0.02,2.0,shared_static_nuisance,1.0,1.0,2.679807618901104,77.55505241812793,0.03455361753162478,5.379640309685355,765.9886499572985,27.676499958580358,7222.557090128703,33.176626732678095,33.176626732678095
best_single,5,shared,0.02,2.0,full_pressure_nuisance,0.25,2.0,1.2988172318801878,12.757189716328217,0.10181060725449605,3.134032429902222,371.2502535525838,19.267855447677196,575.8114892771998,14.402484540522732,14.402484540522732
best_single,5,shared,0.02,2.0,full_pressure_nuisance,1.0,1.0,2.032450435144951,21.28502098862451,0.09548735875013543,3.2361381979052863,580.9498987693037,24.10290228933652,1503.3888199780308,24.095947243447796,24.095947243447796
best_single,5,shared,0.02,2.0,full_pressure_nuisance,4.0,0.5,2.35720903063996,32.61916370425565,0.07226454522291838,3.7199522312602467,673.7779795504377,25.957233665212435,2672.0722001065387,28.654430156883038,28.654430156883027
best_single,5,shared,0.05,5.0,raw,1.0,1.0,4.782317765402652,246.78461856440086,0.019378508244243187,7.183561744337661,529.2554331139853,23.005552223626047,550.5650998368336,1.6136856903455943,1.6136856903455943
best_single,5,shared,0.05,5.0,shared_static_nuisance,1.0,1.0,1.982798077599437,20.130255507805092,0.0984984058861373,3.1862907227907176,566.7574089595009,23.80666732156143,1387.0912962414964,23.396596082067532,23.39659608206755
best_single,5,shared,0.05,5.0,full_pressure_nuisance,0.25,2.0,1.053286694102006,11.344571979066139,0.09284499195259285,3.281865349308488,301.0684972841538,17.35132551951446,415.25223919539917,11.329823455043003,11.329823455043003
best_single,5,shared,0.05,5.0,full_pressure_nuisance,1.0,1.0,1.5660237807172503,14.65044167280278,0.10689259857772287,3.0586246376766413,447.62781967331205,21.157216727946803,797.3084018236272,17.771604786227783,17.771604786227783
best_single,5,shared,0.05,5.0,full_pressure_nuisance,4.0,0.5,1.7778785937594113,16.91420245645361,0.10511158290416835,3.0844285320746043,508.18380178357467,22.54293241314392,1045.035143741575,20.59218865364831,20.59218865364831
