model,pressure_mpa,Vp_mps,Vs_mps,Vp_change_percent,Vs_change_percent,phi_representative
frozen_constant_cement,5.0,3804.3153717390624,2332.8646693769488,0.0,0.0,0.2215
frozen_constant_cement,7.5,3804.3153717390624,2332.8646693769488,0.0,0.0,0.2215
frozen_constant_cement,10.0,3804.3153717390624,2332.8646693769488,0.0,0.0,0.2215
frozen_constant_cement,12.5,3804.3153717390624,2332.8646693769488,0.0,0.0,0.2215
frozen_constant_cement,15.0,3804.3153717390624,2332.8646693769488,0.0,0.0,0.2215
frozen_constant_cement,17.5,3804.3153717390624,2332.8646693769488,0.0,0.0,0.2215
frozen_constant_cement,20.0,3804.3153717390624,2332.8646693769488,0.0,0.0,0.2215
frozen_constant_cement,22.5,3804.3153717390624,2332.8646693769488,0.0,0.0,0.2215
frozen_constant_cement,25.0,3804.3153717390624,2332.8646693769488,0.0,0.0,0.2215
frozen_constant_cement,27.5,3804.3153717390624,2332.8646693769488,0.0,0.0,0.2215
frozen_constant_cement,30.0,3804.3153717390624,2332.8646693769488,0.0,0.0,0.2215
frozen_constant_cement,32.5,3804.3153717390624,2332.8646693769488,0.0,0.0,0.2215
frozen_constant_cement,35.0,3804.3153717390624,2332.8646693769488,0.0,0.0,0.2215
frozen_constant_cement,37.5,3804.3153717390624,2332.8646693769488,0.0,0.0,0.2215
frozen_constant_cement,39.0,3804.3153717390624,2332.8646693769488,0.0,0.0,0.2215
frozen_constant_cement,40.0,3804.3153717390624,2332.8646693769488,0.0,0.0,0.2215
frozen_constant_cement,42.5,3804.3153717390624,2332.8646693769488,0.0,0.0,0.2215
frozen_constant_cement,45.0,3804.3153717390624,2332.8646693769488,0.0,0.0,0.2215
frozen_constant_cement,47.5,3804.3153717390624,2332.8646693769488,0.0,0.0,0.2215
frozen_constant_cement,50.0,3804.3153717390624,2332.8646693769488,0.0,0.0,0.2215
frozen_constant_cement,52.5,3804.3153717390624,2332.8646693769488,0.0,0.0,0.2215
frozen_constant_cement,55.0,3804.3153717390624,2332.8646693769488,0.0,0.0,0.2215
frozen_constant_cement,57.5,3804.3153717390624,2332.8646693769488,0.0,0.0,0.2215
frozen_constant_cement,60.0,3804.3153717390624,2332.8646693769488,0.0,0.0,0.2215
pressure_extension_shared_Cn,5.0,3751.5195152959427,2281.3404805525665,-1.3877886369600634,-2.2086231362123177,0.2215
pressure_extension_shared_Cn,7.5,3759.7279640993465,2289.3663391593154,-1.172021856309291,-1.8645886659705235,0.2215
pressure_extension_shared_Cn,10.0,3766.148562513387,2295.640216715702,-1.0032504010893395,-1.5956541821685932,0.2215
pressure_extension_shared_Cn,12.5,3771.4939213545763,2300.860821713819,-0.862742627183466,-1.3718690193751049,0.2215
pressure_extension_shared_Cn,15.0,3776.1102675929246,2305.3675284833607,-0.7413976337415029,-1.1786856415006652,0.2215
pressure_extension_shared_Cn,17.5,3780.1948359323133,2309.353621489257,-0.6340309214617701,-1.007818764470847,0.2215
pressure_extension_shared_Cn,20.0,3783.871779010737,2312.940741366671,-0.5373790217339414,-0.8540541709004978,0.2215
pressure_extension_shared_Cn,22.5,3787.224831996521,2316.2109137268435,-0.4492408770708334,-0.7138757712230714,0.2215
pressure_extension_shared_Cn,25.0,3790.3134123524815,2319.2223330723336,-0.36805464369743524,-0.5847890142833934,0.2215
pressure_extension_shared_Cn,27.5,3793.181359105541,2322.0179294091613,-0.2926679716469316,-0.464953673060009,0.2215
pressure_extension_shared_Cn,30.0,3795.8620337325733,2324.630367712909,-0.22220392318906823,-0.3529695387876508,0.2215
pressure_extension_shared_Cn,32.5,3798.3814712360922,2327.0851359846138,-0.15597814384818998,-0.24774404911702685,0.2215
pressure_extension_shared_Cn,35.0,3800.760417705753,2329.4025418404344,-0.09344530318695643,-0.1484067027959668,0.2215
pressure_extension_shared_Cn,37.5,3803.015698359799,2331.5990529043474,-0.03416313455288922,-0.0542516027275286,0.2215
pressure_extension_shared_Cn,39.0,3804.3153717390624,2332.8646693769488,0.0,0.0,0.2215
pressure_extension_shared_Cn,40.0,3805.1611654986027,2333.688225511607,0.02223248277004597,0.03530235360280631,0.2215
pressure_extension_shared_Cn,42.5,3807.2083732428027,2335.681365683175,0.07604525968671894,0.12073980729361278,0.2215
pressure_extension_shared_Cn,45.0,3809.167069044467,2337.5880105678625,0.12753141712293914,0.2024695754072603,0.2215
pressure_extension_shared_Cn,47.5,3811.0455590177867,2339.416286258427,0.1769092890857804,0.2808399890263713,0.2215
pressure_extension_shared_Cn,50.0,3812.8509843375136,2341.1731784825956,0.2243665880557577,0.3561504966280715,0.2215
pressure_extension_shared_Cn,52.5,3814.5895336641474,2342.8647406254904,0.2700659887823198,0.4286605811220312,0.2215
pressure_extension_shared_Cn,55.0,3816.2666087072507,2344.496255849206,0.31414948027101985,0.49859670922804966,0.2215
pressure_extension_shared_Cn,57.5,3817.8869548995763,2346.072365039544,0.3567418006754197,0.5661578160092162,0.2215
pressure_extension_shared_Cn,60.0,3819.454765713535,2347.5971689380162,0.3979531793535829,0.6315196828370784,0.2215
pressure_extension_free_soft_Cn,5.0,3751.5195152959427,2281.3404805525665,-1.3877886369600634,-2.2086231362123177,0.2215
pressure_extension_free_soft_Cn,7.5,3759.7279640993465,2289.3663391593154,-1.172021856309291,-1.8645886659705235,0.2215
pressure_extension_free_soft_Cn,10.0,3766.148562513387,2295.640216715702,-1.0032504010893395,-1.5956541821685932,0.2215
pressure_extension_free_soft_Cn,12.5,3771.4939213545763,2300.860821713819,-0.862742627183466,-1.3718690193751049,0.2215
pressure_extension_free_soft_Cn,15.0,3776.1102675929246,2305.3675284833607,-0.7413976337415029,-1.1786856415006652,0.2215
pressure_extension_free_soft_Cn,17.5,3780.1948359323133,2309.353621489257,-0.6340309214617701,-1.007818764470847,0.2215
pressure_extension_free_soft_Cn,20.0,3783.871779010737,2312.940741366671,-0.5373790217339414,-0.8540541709004978,0.2215
pressure_extension_free_soft_Cn,22.5,3787.224831996521,2316.2109137268435,-0.4492408770708334,-0.7138757712230714,0.2215
pressure_extension_free_soft_Cn,25.0,3790.3134123524815,2319.2223330723336,-0.36805464369743524,-0.5847890142833934,0.2215
pressure_extension_free_soft_Cn,27.5,3793.181359105541,2322.0179294091613,-0.2926679716469316,-0.464953673060009,0.2215
pressure_extension_free_soft_Cn,30.0,3795.8620337325733,2324.630367712909,-0.22220392318906823,-0.3529695387876508,0.2215
pressure_extension_free_soft_Cn,32.5,3798.3814712360922,2327.0851359846138,-0.15597814384818998,-0.24774404911702685,0.2215
pressure_extension_free_soft_Cn,35.0,3800.760417705753,2329.4025418404344,-0.09344530318695643,-0.1484067027959668,0.2215
pressure_extension_free_soft_Cn,37.5,3803.015698359799,2331.5990529043474,-0.03416313455288922,-0.0542516027275286,0.2215
pressure_extension_free_soft_Cn,39.0,3804.3153717390624,2332.8646693769488,0.0,0.0,0.2215
pressure_extension_free_soft_Cn,40.0,3805.1611654986027,2333.688225511607,0.02223248277004597,0.03530235360280631,0.2215
pressure_extension_free_soft_Cn,42.5,3807.2083732428027,2335.681365683175,0.07604525968671894,0.12073980729361278,0.2215
pressure_extension_free_soft_Cn,45.0,3809.167069044467,2337.5880105678625,0.12753141712293914,0.2024695754072603,0.2215
pressure_extension_free_soft_Cn,47.5,3811.0455590177867,2339.416286258427,0.1769092890857804,0.2808399890263713,0.2215
pressure_extension_free_soft_Cn,50.0,3812.8509843375136,2341.1731784825956,0.2243665880557577,0.3561504966280715,0.2215
pressure_extension_free_soft_Cn,52.5,3814.5895336641474,2342.8647406254904,0.2700659887823198,0.4286605811220312,0.2215
pressure_extension_free_soft_Cn,55.0,3816.2666087072507,2344.496255849206,0.31414948027101985,0.49859670922804966,0.2215
pressure_extension_free_soft_Cn,57.5,3817.8869548995763,2346.072365039544,0.3567418006754197,0.5661578160092162,0.2215
pressure_extension_free_soft_Cn,60.0,3819.454765713535,2347.5971689380162,0.3979531793535829,0.6315196828370784,0.2215
