reference_pressure_mpa,fabric_mode,n_additional_pressures,pressure_1_mpa,pressure_2_mpa,absolute_state_count,pressure_span_mpa,lambda_min,lambda_max,spectral_ratio,condition_number,lambda_min_gain,worst_sd_reduction,determinant_gain,strong_direction_rotation_deg,weak_direction_rotation_deg
10.0,nuisance,1,60.0,,2,50.0,1.3131911202887827,20.382344589249108,0.06442787357159292,3.939699534167265,375.3588452660633,19.374179860475728,930.1636146678692,18.505307847742237,18.505307847742237
10.0,nuisance,2,55.0,60.0,3,50.0,1.39335166087823,22.655025718037315,0.06150298296809618,4.032291403696968,398.2717080525109,19.95674592844512,1096.989749073898,19.670077416554587,19.670077416554587
10.0,expanded_nuisance,1,60.0,,2,50.0,0.007162363522041915,16.742220168086618,0.0004278024927479176,48.34798120322702,2.047269783866808,1.4308283558368586,4.167222397044254,0.20713369107349464,0.20713369107349464
10.0,expanded_nuisance,2,55.0,60.0,3,50.0,0.009363187026319775,17.399063637071,0.0005381431565300027,43.107326518729636,2.6763469657308474,1.6359544509951514,5.661439166007429,0.21547814084762246,0.21547814084762246
20.0,nuisance,1,60.0,,2,40.0,1.1398998130334794,17.402754588922235,0.0655011140454216,3.90729009773018,325.8257468609409,18.050643945880182,689.3851887000499,16.17290812570141,16.17290812570141
20.0,nuisance,2,5.0,60.0,3,55.0,1.2652996666493532,20.286112037312662,0.06237270425806885,4.004079696736883,361.66968726120547,19.017615183329518,892.0095077738345,18.071139026393688,18.071139026393688
20.0,expanded_nuisance,1,60.0,,2,40.0,0.005574155966468375,15.723866869913213,0.0003545028721360028,53.11169001951672,1.5933010165697652,1.26226028083346,3.0459007263915714,0.1955876884416364,0.19558768843977298
20.0,expanded_nuisance,2,5.0,60.0,3,55.0,0.007976580821982715,16.779304407651885,0.00047538209142597985,45.86470362965277,2.2800033599469,1.5099679996433368,4.65123190183993,0.20885669170481794,0.20885669170481794
39.0,nuisance,1,5.0,,2,34.0,1.2343946614930572,20.901732963106625,0.059057048698874445,4.114945902285208,352.8358877714115,18.783926314043384,896.6306901247945,17.95687838305851,17.95687838305851
39.0,nuisance,2,5.0,7.5,3,34.0,1.2889594036345255,22.319903232410333,0.05774932759398574,4.161276118641997,368.4325197361159,19.194596107657905,999.7900649699197,18.672911083892576,18.672911083892593
39.0,expanded_nuisance,1,5.0,,2,34.0,0.00902857881619612,17.048720947003336,0.0005295751419864186,43.454644800304365,2.5807034988903625,1.606456815133965,5.349195444468016,0.21143816914158925,0.21143816914158925
39.0,expanded_nuisance,2,5.0,7.5,3,34.0,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514
