group,group_label,prior_sd_multiplier,best_pressure_1_mpa,best_pressure_2_mpa,canonical_5_7p5_is_best,second_best_lambda_min,best_minus_second_best_lambda_min,canonical_lambda_min_gain,lambda_min,lambda_max,spectral_ratio,condition_number,lambda_min_gain,worst_sd_reduction,determinant_gain,strong_direction_rotation_deg,weak_direction_rotation_deg,sd_Vcem_fraction,sd_Vcem_percentage_points,sd_lnCn,multiplicative_Cn_one_sigma,Vcem_lnCn_correlation,target_aligned_discrepancy_log_rms,raw_alignment_rms_per_scaled_parameter,aligned_1pct_lambda_min_gain,aligned_1pct_spectral_ratio,aligned_1pct_Vcem_lnCn_correlation
fabric_state,Fabric state,0.25,5.0,7.5,True,0.011058684334417812,0.0008144288865645777,3.3937771886251524,0.01187311322098239,34.074339541774634,0.0003484473472017302,53.57120543129032,3.3937771886251524,1.842220722016,14.059482194705659,0.24463601629194365,0.2446360162904538,0.075928995371382,7.5928995371382,1.5314057597004045,4.624673434433813,-0.9991769933421579,0.0,0.0,1.2071801586289994,0.00013314859284124827,-0.9996875653109372
fabric_state,Fabric state,0.5,5.0,7.5,True,0.011031625166401327,0.0008105025731603988,3.3849203860269776,0.011842127739561725,27.220171083910593,0.0004350497174707846,47.94359041755957,3.3849203860269776,1.8398153130211135,11.202059164459179,0.23637106899771387,0.23637106899771387,0.07605236985139303,7.605236985139303,1.533290834591201,4.633399512274299,-0.9989728344554887,0.0,0.0,1.2071233943598323,0.00016371666620630163,-0.9996158505981012
fabric_state,Fabric state,0.75,5.0,7.5,True,0.01098820590740246,0.0008036863956943918,3.370561230583751,0.011791892303096851,21.418823305523247,0.0005505387543888132,42.61927445207559,3.370561230583751,1.8359088295946917,8.777207839814318,0.22517820897050542,0.22517820897050542,0.07624673777159768,7.624673777159768,1.5363938571962343,4.647799385711033,-0.9987008241249583,0.0,0.0,1.2070295946200267,0.00020490473757450739,-0.9995192286256388
fabric_state,Fabric state,1.0,5.0,7.5,True,0.010930110570206875,0.0007938279082133626,3.3511375010382625,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514,0.07650184646562136,7.650184646562136,1.540668623890125,4.667710170384358,-0.9984188232644072,0.0,0.0,1.2068996463319068,0.0002483749145327763,-0.9994172629111003
fabric_state,Fabric state,1.5,5.0,7.5,True,0.010775680920311892,0.0007653238706630816,3.298848251881128,0.011541004790974974,13.267350657719458,0.0008698801357345576,33.90551092768011,3.298848251881128,1.8162731765571851,5.3211450697544445,0.19212539311030546,0.19212539310840845,0.07716617874656609,7.716617874656609,1.5525201094538612,4.723358576875003,-0.9979502468921828,0.0,0.0,1.2065349671502716,0.00032377700797836035,-0.9992404192150399
fabric_state,Fabric state,2.0,5.0,7.5,True,0.010578357481282552,0.0007271306818261714,3.2315288433723404,0.011305488163108723,11.338726893171136,0.0009970685659531644,31.66922879732276,3.2315288433723404,1.7976453608463323,4.454827425644032,0.17644635497134237,0.17644635496927677,0.07800920138596883,7.800920138596883,1.568367674203796,4.798808578079381,-0.9976520890971922,0.0,0.0,1.2060370972282366,0.000376901216278293,-0.9991158406602342
fabric_state,Fabric state,3.0,5.0,7.5,True,0.0100928334923589,0.0006346663364147354,3.066318288410954,0.010727499828773635,9.762388416611813,0.0010988601734509534,30.166768001021637,3.066318288410954,1.7510905997152044,3.6394174190299866,0.156704520717609,0.156704520717609,0.08013392439087084,8.013392439087085,1.6097333962324414,5.001477637289893,-0.9974142947077689,0.0,0.0,1.2046802692774414,0.00043566326550844084,-0.9989780493752514
fabric_state,Fabric state,4.0,5.0,7.5,True,0.009548475271364598,0.0005395459587309581,2.883531529755917,0.010088021230095556,9.164430472461625,0.0011007799404894006,30.14045100658591,2.883531529755917,1.6980964430078513,3.212837338597376,0.14470570445954753,0.14470570445954753,0.08266092497197097,8.266092497197096,1.6597404450025743,5.257945941175603,-0.9974106974797935,0.0,0.0,1.2029217765016693,0.00046281796714710234,-0.9989143669413798
stress_calibration,Stress/calibration,0.25,5.0,7.5,True,0.011480504124190993,0.0008882146333242247,3.5354396770674446,0.012368718757515218,19.902248034582314,0.0006214734504375198,40.113329406267866,3.5354396770674446,1.880276489526858,8.554686900504379,0.3301072410739198,0.3301072410739198,0.07424775018642366,7.424775018642365,1.5019766741981004,4.490556670778485,-0.998529001490951,0.0,0.0,1.2078251159208933,0.00022759669960892648,-0.9994658876084397
stress_calibration,Stress/calibration,0.5,5.0,7.5,True,0.011347668894956087,0.0008637140123273213,3.490467241487025,0.012211382907283408,19.269090014695134,0.0006337290914086069,39.72356139744452,3.490467241487025,1.8682792193585585,8.177175619768342,0.3018060212434682,0.3018060212446758,0.07478149737604257,7.478149737604258,1.511134140161714,4.531867653918125,-0.9985012897663113,0.0,0.0,1.2076117344748636,0.0002322708520317164,-0.9994549476720259
stress_calibration,Stress/calibration,0.75,5.0,7.5,True,0.011154417868405986,0.0008300561416909602,3.425608242433044,0.011984474010096946,18.409154203454015,0.0006510062264483808,39.19290265490824,3.425608242433044,1.8508398748765502,7.667081568468037,0.2607716528734655,0.2607716528734655,0.07556940413783675,7.556940413783675,1.5246582495547307,4.59357344525638,-0.998462352760336,0.0,0.0,1.2072903088137952,0.0002394358547077044,-0.99943817968366
stress_calibration,Stress/calibration,1.0,5.0,7.5,True,0.010930110570206875,0.0007938279082133626,3.3511375010382625,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514,0.07650184646562136,7.650184646562136,1.540668623890125,4.667710170384358,-0.9984188232644072,0.0,0.0,1.2068996463319068,0.0002483749145327763,-0.9994172629111003
stress_calibration,Stress/calibration,1.5,5.0,7.5,True,0.010479700390533253,0.0007295766653050428,3.2040281318850017,0.011209277055838296,15.82562208896299,0.0007082993005156999,37.57436013101933,3.2040281318850017,1.7899799249949708,6.164752770309391,0.11761856464688819,0.11761856464688819,0.07843859635512102,7.843859635512102,1.5739130802599335,4.8254938421586715,-0.9983342306332859,0.0,0.0,1.2060502863680949,0.0002689251472465812,-0.9993691883550638
stress_calibration,Stress/calibration,2.0,5.0,7.5,True,0.01010084161982805,0.0006830514084348316,3.0824375614658064,0.010783893028262881,14.548783233974163,0.0007412230187800482,36.730390961230235,3.0824375614658064,1.7556872049046226,5.452297121848945,0.03562861201612479,0.03562861201612479,0.08014550675344946,8.014550675344946,1.6031420951022821,4.968619798999752,-0.9982610558009034,0.0,0.0,1.2052551799729134,0.00029008432215472984,-0.9993197040917269
stress_calibration,Stress/calibration,3.0,5.0,7.5,True,0.009590147662197346,0.0006271408690889935,2.920480930460791,0.01021728853128634,12.858600307815557,0.0007945879245563137,35.475540385755444,2.920480930460791,1.7089414649018237,4.565692149828397,0.08189211920844416,0.08189211920844416,0.08259544244205534,8.259544244205534,1.6447621378230763,5.1797776872084205,-0.9981423308617617,0.0,0.0,1.2040248728966114,0.00032864083582425486,-0.9992295652262418
stress_calibration,Stress/calibration,4.0,5.0,7.5,True,0.009295246365204513,0.0005948511767366327,2.8269575810833865,0.009890097541941145,11.815140260851578,0.0008370698378174238,34.563614557290606,2.8269575810833865,1.6813558757988705,4.060847932416123,0.15803217972078729,0.15803217972078729,0.08412076163996962,8.412076163996963,1.6702771148899322,5.3136400819621805,-0.9980473976269993,0.0,0.0,1.2031946910635076,0.0003606001838724435,-0.9991548770450951
scenario_endpoint,Scenario endpoint,0.25,5.0,7.5,True,0.011045709072779797,0.0008238872921713103,3.3927719404183425,0.011869596364951107,17.78594593082219,0.0006673581720712232,38.709762657811105,3.3927719404183425,1.8419478658252906,7.336521397844214,0.19184533245069427,0.19184533245259405,0.07607359017131538,7.607359017131538,1.5308068187115424,4.621904357293509,-0.9984269855785323,0.0,0.0,1.2072377592730794,0.0002430317613378564,-0.9994298313503707
scenario_endpoint,Scenario endpoint,0.5,5.0,7.5,True,0.011021842318644115,0.0008176116403788569,3.384156120140607,0.011839453959022972,17.72345449508183,0.0006680105146718639,38.69085712066951,3.384156120140607,1.839607599500667,7.292178949740346,0.19627732722091312,0.19627732722091312,0.07616154570409986,7.616154570409986,1.532832893453597,4.631278173791826,-0.9984252434151418,0.0,0.0,1.2071686692287364,0.0002441238326131615,-0.9994272626423022
scenario_endpoint,Scenario endpoint,0.75,5.0,7.5,True,0.010982909891348314,0.0008074522750320945,3.370123860621291,0.011790362166380408,17.622612788920605,0.0006690473375090581,38.66086588101215,3.370123860621291,1.8357897103484624,7.220623734525317,0.20349551656809234,0.20349551656630133,0.07630553793837579,7.630553793837579,1.536149056835846,4.646661741999875,-0.9984224652743793,0.0,0.0,1.2070551701652215,0.00024591757605746503,-0.9994230433691818
scenario_endpoint,Scenario endpoint,1.0,5.0,7.5,True,0.010930110570206875,0.0007938279082133626,3.3511375010382625,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514,0.07650184646562136,7.650184646562136,1.540668623890125,4.667710170384358,-0.9984188232644072,0.0,0.0,1.2068996463319068,0.0002483749145327763,-0.9994172629111003
scenario_endpoint,Scenario endpoint,1.5,5.0,7.5,True,0.010789352981299682,0.000758365446720255,3.3007672589546595,0.011547718428019937,17.140597363912647,0.000673705716484082,38.526972577000585,3.3007672589546595,1.8168013812617656,6.878589767290651,0.23917193259977462,0.23917193260282238,0.07703106760034045,7.7031067600340455,1.552844544099631,4.72489124665388,-0.9984098136483497,0.0,0.0,1.2064758011468937,0.0002550685134879714,-0.9994015158332217
scenario_endpoint,Scenario endpoint,2.0,5.0,7.5,True,0.010614220045201073,0.000715970168694291,3.2385896078838594,0.011330190213895364,16.730378105447272,0.000677222603248061,38.42680509338243,3.2385896078838594,1.7996081817673144,6.587493917323014,0.2711547022046884,0.2711547022046884,0.07770178527032219,7.770178527032219,1.568259035115405,4.798287268207924,-0.9984000016310058,0.0,0.0,1.2059288824005792,0.00026369858206315807,-0.999381209726644
