nuisance,scientific_group,meaning,prior_sd_multiplier,physical_prior_sd,unit,one_sigma_multiplicative_factor,one_sigma_percentage_points,static_lambda_min,static_lambda_max,lambda_min,lambda_max,spectral_ratio,condition_number,lambda_min_gain,worst_sd_reduction,determinant_gain,strong_direction_rotation_deg,weak_direction_rotation_deg,sd_Vcem_fraction,sd_Vcem_percentage_points,sd_lnCn,multiplicative_Cn_one_sigma,Vcem_lnCn_correlation,target_aligned_discrepancy_log_rms,raw_alignment_rms_per_scaled_parameter,aligned_1pct_lambda_min,aligned_1pct_lambda_max,aligned_1pct_lambda_min_gain,aligned_1pct_spectral_ratio,aligned_1pct_Vcem_lnCn_correlation,aligned_1pct_sd_Vcem_percentage_points,aligned_1pct_sd_lnCn,aligned_1pct_raw_alignment_rms_per_scaled_parameter
phi_bias,state_log_biases,systematic porosity/state bias,0.25,0.0025,absolute fraction,,0.25,0.003504195590778636,8.653104787359368,0.01176798463732398,17.98195048664811,0.0006544331576300302,39.090151388036965,3.3582556488261326,1.8325544054205136,6.978765227356787,0.2087937673562903,0.2087937673580359,0.0763874607033575,7.63874607033575,1.5375096662817564,4.6529883368943645,-0.9984571314510654,0.0,0.0,0.004246030139367196,17.489365727617272,1.2116989561144114,0.00024277782313525154,-0.9994305661665781,12.776749134022419,2.553568566153789,0.0002889529538938249
phi_bias,state_log_biases,systematic porosity/state bias,0.5,0.005,absolute fraction,,0.5,0.0035004300934402544,8.365551680859511,0.011738646928747709,17.649886997171492,0.0006650834042523277,38.775905157090655,3.35348703313508,1.8312528588742407,7.075285580595755,0.21182829069425158,0.21182829069425158,0.07646357338497127,7.646357338497127,1.539611843112502,4.662780029498665,-0.9984315828268219,0.0,0.0,0.004230334633027244,17.160035347877262,1.2085185306099437,0.0002465224894510807,-0.999421668101984,12.798126079563957,2.558513126909101,0.0002864316486853781
phi_bias,state_log_biases,systematic porosity/state bias,1.0,0.01,absolute fraction,,1.0,0.003498495204923069,8.225104925833136,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514,0.07650184646562136,7.650184646562136,1.540668623890125,4.667710170384358,-0.9984188232644072,0.0,0.0,0.004222332625515524,16.99983524285554,1.2068996463319068,0.0002483749145327763,-0.9994172629111003,12.809064753503844,2.5610449858866957,0.0002851424639912598
phi_bias,state_log_biases,systematic porosity/state bias,2.0,0.02,absolute fraction,,2.0,0.0034978767442468417,8.18120273404651,0.011719288204449896,17.437412479779205,0.0006720772487339983,38.57362046841114,3.3504005604900975,1.8304099432886878,7.141042514766959,0.2137028131774275,0.213702813179133,0.07651396291256624,7.651396291256623,1.5410031374288773,4.669271843817214,-0.9984147960007483,0.0,0.0,0.0042197839403499415,16.9498487713795,1.2063844008484468,0.0002489570259455775,-0.9994158781123262,12.812554463981856,2.5618529666585816,0.0002847313206493596
phi_bias,state_log_biases,systematic porosity/state bias,4.0,0.04,absolute fraction,,4.0,0.00349771121017195,8.169531522966821,0.011718047684957433,17.423971383383382,0.0006725245024295963,38.560791892250776,3.350204456811449,1.8303563742647082,7.145313831015311,0.2138193703986938,0.21381937039698926,0.07651719642080593,7.651719642080593,1.5410924055172703,4.669688679393679,-0.998413722232727,0.0,0.0,0.0042191025164401985,16.936567420251453,1.2062466747312695,0.0002491120196761546,-0.9994155093529004,12.813487947797944,2.5620691196165666,0.00028462135275252406
vsh_bias,state_log_biases,shale-volume/mineralogical-proxy bias,0.25,0.0075,absolute fraction,,0.75,0.003576671123323827,9.29318496195501,0.011744539154735723,18.61471008732076,0.0006309278575729959,39.811647336989516,3.2836508445376538,1.8120846681481673,6.5773153928694486,0.16866350197325508,0.16866350197325508,0.07640047757865986,7.640047757865986,1.5395753567663233,4.662609904795987,-0.9985111545178409,0.0,0.0,0.0042059014337558764,18.255583018686984,1.1759262422336727,0.00023038987193400423,-0.9994585824255816,12.815432951645848,2.567664000968918,0.00026439707377031574
vsh_bias,state_log_biases,shale-volume/mineralogical-proxy bias,0.5,0.015,absolute fraction,,1.5,0.003553297171686731,8.945840457652201,0.011738081299693892,18.24618247952488,0.0006433171055296574,39.426429653668094,3.3034336089941747,1.8175350365245162,6.737774133580267,0.18177642647233602,0.18177642647233602,0.07643223153315234,7.643223153315234,1.5399177518533866,4.664206632860605,-0.9984821635574926,0.0,0.0,0.0042095332660281315,17.84967045378152,1.18468370716933,0.00023583254810938684,-0.9994460643391432,12.815537642030044,2.56606610949462,0.000270454388298007
vsh_bias,state_log_biases,shale-volume/mineralogical-proxy bias,1.0,0.03,absolute fraction,,3.0,0.003498495204923069,8.225104925833136,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514,0.07650184646562136,7.650184646562136,1.540668623890125,4.667710170384358,-0.9984188232644072,0.0,0.0,0.004222332625515524,16.99983524285554,1.2068996463319068,0.0002483749145327763,-0.9994172629111003,12.809064753503844,2.5610449858866957,0.0002851424639912598
vsh_bias,state_log_biases,shale-volume/mineralogical-proxy bias,2.0,0.06,absolute fraction,,6.0,0.0034354102304672285,7.527077179248365,0.011709194648898968,16.761905707928705,0.0006985598686049339,37.83538728868327,3.4083832390830584,1.846180716799701,7.590064125753994,0.25064774615869845,0.2506477461557903,0.07657452700182393,7.657452700182393,1.5414529003295832,4.671372381402402,-0.9983530109294443,0.0,0.0,0.004244156621174611,16.16237804026847,1.2354147937078797,0.00026259481188970575,-0.9993846770265488,12.790581974629442,2.5531884615246945,0.0003027881248228043
vsh_bias,state_log_biases,shale-volume/mineralogical-proxy bias,4.0,0.12,absolute fraction,,12.0,0.00340230232293659,7.206148141423912,0.011702037388351627,16.430760538669425,0.0007122030268051893,37.47124236807241,3.4394466680584053,1.8545745248057317,7.8422929253332425,0.2706994063646703,0.27069940636601675,0.07660984870732629,7.660984870732629,1.5418341722487836,4.673153784093391,-0.998321143659797,0.0,0.0,0.004258484008043961,15.770700020888928,1.2516477384550544,0.0002700250465992903,-0.9993676744079697,12.776468263453758,2.5482423296039998,0.0003123220815630111
sw_bias,state_log_biases,water-saturation bias,0.25,0.0125,absolute fraction,,1.25,0.0036418280251684365,8.240934073264624,0.011907886340385865,17.515078736335347,0.0006798648478629297,38.352060928084335,3.2697552597462693,1.8082464599014896,6.949457466090425,0.2164354687774675,0.2164354687774675,0.0759240935793192,7.5924093579319205,1.5285966860456839,4.611700615460057,-0.998396869284613,0.0,0.0,0.004382335765185541,17.007617836695758,1.203334076979886,0.0002576689932278571,-0.999395665402069,12.576927930760387,2.5135296424456013,0.00028890767340224003
sw_bias,state_log_biases,water-saturation bias,0.5,0.025,absolute fraction,,2.5,0.0036074923878020027,8.237136572771957,0.011863655916382054,17.508555990136536,0.0006775919112384515,38.416331783317105,3.2886156479488577,1.8134540655745481,6.990161046069878,0.21568182168855482,0.21568182168855482,0.07606177631507688,7.606177631507688,1.5314738305941655,4.624988250802643,-0.9984021402228117,0.0,0.0,0.004343869170254422,17.00573946789372,1.204124278942993,0.0002554354768550644,-0.9994008543720654,12.631558760754194,2.5247131676859746,0.0002880023734462103
sw_bias,state_log_biases,water-saturation bias,1.0,0.05,absolute fraction,,5.0,0.003498495204923069,8.225104925833136,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514,0.07650184646562136,7.650184646562136,1.540668623890125,4.667710170384358,-0.9984188232644072,0.0,0.0,0.004222332625515524,16.99983524285554,1.2068996463319068,0.0002483749145327763,-0.9994172629111003,12.809064753503844,2.5610449858866957,0.0002851424639912598
sw_bias,state_log_biases,water-saturation bias,2.0,0.1,absolute fraction,,10.0,0.0032792727311570236,8.201013196586807,0.011446069673735959,17.44721412887192,0.0006560399608321896,39.0422513432679,3.490429315312682,1.8682690693025676,7.425700484337242,0.20827069991952624,0.20827069991952624,0.07740108791720005,7.740108791720004,1.5594511998477583,4.756210319817668,-0.9984521510711406,0.0,0.0,0.003980515867736845,16.988202772109275,1.213841053815735,0.0002343105931294826,-0.9994499718300784,13.186217844658147,2.6382131045264625,0.00027945674736697503
sw_bias,state_log_biases,water-saturation bias,4.0,0.2,absolute fraction,,20.0,0.0030754469445293253,8.178740969826883,0.011191412053364935,17.41001797967155,0.0006428145029162151,39.44183997392053,3.6389546804806607,1.9076044350128412,7.7462126075532085,0.2034834584221763,0.2034834584221763,0.07825470321536739,7.825470321536739,1.5772734074236396,4.841736354989381,-0.9984828688902995,0.0,0.0,0.0037587968200263333,16.977630134933914,1.2221953061855175,0.00022139702597785238,-0.9994800327031194,13.563663289413356,2.715405820424433,0.0002742538110606099
f_kf_shift,solid_composition_moduli,framework K-feldspar fraction shift,0.25,0.025,absolute fraction,,2.5,0.003661011409785253,17.812042977201546,0.011726331805143708,27.631235453925306,0.0004243868076292571,48.54215609438546,3.2030306635486694,1.7897012777412518,4.968755944723909,0.03920625589705909,0.03920625590635517,0.07644669078870767,7.644669078870766,1.5406568543113652,4.667655233725171,-0.998998298369163,0.0,0.0,0.0041310434840911014,27.583541340879965,1.128388584927524,0.00014976479753050134,-0.9996467665680137,12.889199338080488,2.5943757526601763,0.00022598151668146328
f_kf_shift,solid_composition_moduli,framework K-feldspar fraction shift,0.5,0.05,absolute fraction,,5.0,0.0036194005966971865,13.717515148479855,0.011725560830248227,23.280686207898107,0.000503660447357014,44.558552742879314,3.239641624900034,1.7999004486082095,5.498159052785432,0.08292288849632427,0.08292288849632427,0.07646446323043139,7.646446323043139,1.540660645817827,4.6676729312037,-0.9988114758597246,0.0,0.0,0.004142954158831813,23.13778625852367,1.1446520074656519,0.00017905577104661866,-0.999578271883686,12.88664850502553,2.5892848062915435,0.00023940761020638436
f_kf_shift,solid_composition_moduli,framework K-feldspar fraction shift,1.0,0.1,absolute fraction,,10.0,0.003498495204923069,8.225104925833136,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514,0.07650184646562136,7.650184646562136,1.540668623890125,4.667710170384358,-0.9984188232644072,0.0,0.0,0.004222332625515524,16.99983524285554,1.2068996463319068,0.0002483749145327763,-0.9994172629111003,12.809064753503844,2.5610449858866957,0.0002851424639912598
f_kf_shift,solid_composition_moduli,framework K-feldspar fraction shift,2.0,0.2,absolute fraction,,20.0,0.0032970817813202657,4.935029841293335,0.011722337493323298,14.041366275640714,0.0008348430817348223,34.6096791935284,3.5553675252268895,1.8855682234347526,10.115889725429613,0.4362955837048475,0.4362955837040121,0.07653871737484319,7.6538717374843195,1.5406764963798154,4.667746917029195,-0.9980319722762259,0.0,0.0,0.004479704096104875,12.906955952997087,1.3586875889717986,0.0003470767322998926,-0.9991903294841065,12.499877181373602,2.4808339548550524,0.00037489358734365944
f_kf_shift,solid_composition_moduli,framework K-feldspar fraction shift,4.0,0.4,absolute fraction,,40.0,0.0031472802006232703,3.8039490140388907,0.011721591361751216,12.860416334618176,0.0009114472701944006,33.123347872055255,3.7243558293379584,1.9298590179953452,12.591327162057315,0.6045523200808756,0.6045523200802727,0.07655589411164532,7.655589411164532,1.5406801651623223,4.667764042008845,-0.9978518956973367,0.0,0.0,0.004746091724183721,11.247943845982736,1.50799783357193,0.00042195193976531217,-0.9990192066660882,12.183944249164993,2.406752779700768,0.0004474586992896961
log_clay_mod_scale,solid_composition_moduli,multiplicative clay-modulus factor,0.25,0.0625,log ratio,1.0644944589178593,,0.006703720578122407,8.376362429755751,0.015060772942766754,17.64349681467639,0.0008536161000827654,34.22698946150172,2.2466289827051544,1.4988759063728907,4.732172423593823,0.13554025384239526,0.13554025384239526,0.06737908267698053,6.737908267698053,1.3605413353174047,3.8983030198138287,-0.9979828176192119,0.0,0.0,0.007235755180194481,17.423523408902962,1.079364077883611,0.0004152865646277492,-0.9990219097357426,9.750814415515006,1.9596214980485123,0.00023561074951351807
log_clay_mod_scale,solid_composition_moduli,multiplicative clay-modulus factor,0.5,0.125,log ratio,1.1331484530668263,,0.005314178627110477,8.310096173628203,0.013604976850171813,17.57530312604148,0.0007740962845763496,35.94202223398516,2.560127877667778,1.6000399612721483,5.414500933723355,0.16904046948595747,0.16904046948595747,0.07094663380414742,7.094663380414742,1.4309246635264483,4.182564869604165,-0.9981722709146281,0.0,0.0,0.00592107380568363,17.24894416730227,1.1142030069288704,0.0003432716662685844,-0.9991928936983083,10.795685153172638,2.1646955790622133,0.00025577677851398986
log_clay_mod_scale,solid_composition_moduli,multiplicative clay-modulus factor,1.0,0.25,log ratio,1.2840254166877414,,0.003498495204923069,8.225104925833136,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514,0.07650184646562136,7.650184646562136,1.540668623890125,4.667710170384358,-0.9984188232644072,0.0,0.0,0.004222332625515524,16.99983524285554,1.2068996463319068,0.0002483749145327763,-0.9994172629111003,12.809064753503844,2.5610449858866957,0.0002851424639912598
log_clay_mod_scale,solid_composition_moduli,multiplicative clay-modulus factor,2.0,0.5,log ratio,1.6487212707001282,,0.0024364057385091176,8.17620749772709,0.010634591064553334,17.437819618918645,0.0006098578432945624,40.49353516711373,4.364868665537145,2.0892268104581526,9.309180628191738,0.23936055637249073,0.23936055637249073,0.08037031082118194,8.037031082118194,1.6171793387030005,5.038857342913266,-0.9985625123138869,0.0,0.0,0.0032374673299306878,16.845498558811933,1.3287882550760017,0.00019218590168927703,-0.9995496360855642,14.644287340258133,2.9232132193801337,0.00030354286164186464
log_clay_mod_scale,solid_composition_moduli,multiplicative clay-modulus factor,4.0,1.0,log ratio,2.718281828459045,,0.00207556123432151,8.159729566331052,0.01026630727482214,17.420926756662436,0.0005893089052163029,41.193481481082635,4.9462801217609655,2.2240234085460893,10.560249946846236,0.24826581564511332,0.24826581564511332,0.08181491092342864,8.181491092342865,1.645766958772949,5.1849850521407586,-0.9986112404176323,0.0,0.0,0.002904193192434068,16.79191917152626,1.399232720485567,0.00017295183253136743,-0.9995948713557585,15.467411121571157,3.085838719553453,0.0003099629121792762
brine_salinity_shift,fluid_properties,brine-salinity mass-fraction shift,0.25,0.0075,mass fraction,,0.75,0.0035475590081754937,8.243292546902701,0.011773360970881441,17.499665435323216,0.0006727763461761285,38.55357388931108,3.318721674184771,1.821735895838025,7.045306064384719,0.2091763830319019,0.20917638302841712,0.07633631011087169,7.633631011087169,1.537476464133382,4.652833850249877,-0.998413106595655,0.0,0.0,0.004260566401063315,17.024447692082042,1.2009853511230304,0.0002502616518387775,-0.9994127485995574,12.749742969347958,2.549684132837077,0.0002828004553268875
brine_salinity_shift,fluid_properties,brine-salinity mass-fraction shift,0.5,0.015,mass fraction,,1.5,0.003533293543906302,8.237996121485399,0.011758962972982179,17.496260637834432,0.0006720843508443312,38.57341665855312,3.328045866232169,1.8242932511611638,7.068267213479215,0.21036288175991247,0.21036288176164503,0.07638442829963588,7.638442829963587,1.5384043323792977,4.657153070556848,-0.9984147711692658,0.0,0.0,0.004249424733859808,17.017295859167813,1.2026809210880829,0.00024971210285272755,-0.9994140636166909,12.76694763147866,2.5529789151882376,0.00028347986888410085
brine_salinity_shift,fluid_properties,brine-salinity mass-fraction shift,1.0,0.03,mass fraction,,3.0,0.003498495204923069,8.225104925833136,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514,0.07650184646562136,7.650184646562136,1.540668623890125,4.667710170384358,-0.9984188232644072,0.0,0.0,0.004222332625515524,16.99983524285554,1.2068996463319068,0.0002483749145327763,-0.9994172629111003,12.809064753503844,2.5610449858866957,0.0002851424639912598
brine_salinity_shift,fluid_properties,brine-salinity mass-fraction shift,2.0,0.06,mass fraction,,6.0,0.00345591323822636,8.209385208866934,0.011681266272311142,17.477910097233526,0.0006683445679332165,38.68118664300345,3.3800808837163365,1.838499628424313,7.19624530996106,0.21681900556834954,0.21681900556834954,0.07664560909868554,7.664560909868554,1.5434411427153916,4.6806694413126,-0.9984237656288757,0.0,0.0,0.004189346132857263,16.978441177841905,1.2122254941236068,0.00024674503913378474,-0.999421161577967,12.860892769961332,2.570971666996029,0.00028718696658988835
brine_salinity_shift,fluid_properties,brine-salinity mass-fraction shift,4.0,0.12,mass fraction,,12.0,0.00343239584731192,8.200729251074321,0.011657786530264058,17.47237221993484,0.0006672125790087783,38.7139858736575,3.396399205934785,1.8429322304237845,7.236326101828681,0.21878785837455023,0.21878785837455023,0.07672504538482564,7.672504538482563,1.5449731970513754,4.68784597724324,-0.9984264876583983,0.0,0.0,0.004171205818992885,16.966612798655703,1.215246144252145,0.00024584788186616586,-0.9994233071592319,12.889654854806867,2.576480897612302,0.0002883207631958738
GOR_shift,fluid_properties,gas-oil-ratio shift,0.25,5.0,Sm3/Sm3,,,0.0035036291120069674,8.225215526630418,0.011730843963475568,17.488292544327038,0.0006707826926923688,38.61082450201471,3.348197993695698,1.8298081849460883,7.118873155420454,0.2129445649753534,0.21294456497706496,0.07647966451369557,7.647966451369557,1.5402125304559569,4.665581743840628,-0.9984179279002938,0.0,0.0,0.0042275844927406325,17.000555336915525,1.2066301419441527,0.0002486733173686819,-0.9994165644675047,12.801138054219475,2.5594514203771372,0.0002850831392749262
GOR_shift,fluid_properties,gas-oil-ratio shift,0.5,10.0,Sm3/Sm3,,,0.0035024644193328847,8.225190435147818,0.011729275985076004,17.488222416574345,0.0006706957234235345,38.61332775811812,3.3488637087454216,1.8299900843298091,7.1202817543376895,0.21301661609819744,0.21301661609819744,0.0764846994809989,7.64846994809989,1.540316057005229,4.6660647804220385,-0.9984181312004512,0.0,0.0,0.004226391988675804,17.000391905726396,1.206690913217273,0.00024860556227837257,-0.9994167230549535,12.80293661112855,2.5598129997422885,0.00028509659703244576
GOR_shift,fluid_properties,gas-oil-ratio shift,1.0,20.0,Sm3/Sm3,,,0.003498495204923069,8.225104925833136,0.011723938478420237,17.487983701237702,0.0006703996686359264,38.62185282106152,3.3511375010382625,1.8306112370020737,7.125093056831419,0.21326202913719514,0.21326202913719514,0.07650184646562136,7.650184646562136,1.540668623890125,4.667710170384358,-0.9984188232644072,0.0,0.0,0.004222332625515524,16.99983524285554,1.2068996463319068,0.0002483749145327763,-0.9994172629111003,12.809064753503844,2.5610449858866957,0.0002851424639912598
GOR_shift,fluid_properties,gas-oil-ratio shift,2.0,40.0,Sm3/Sm3,,,0.003488997037792041,8.22490031310926,0.011711204128971087,17.48741419543245,0.0006696933004554752,38.642215917017715,3.356610510733579,1.832105485700422,7.136674738827872,0.21384845668484764,0.21384845668484764,0.07654280371843993,7.654280371843993,1.5415107577341876,4.671642662703142,-0.9984204745080024,0.0,0.0,0.004212647717685147,16.99850506345995,1.2074093706743465,0.00024782459998442277,-0.9994185509973258,12.823721309208103,2.56399145851758,0.0002852522442872359
GOR_shift,fluid_properties,gas-oil-ratio shift,4.0,80.0,Sm3/Sm3,,,0.003477717223965726,8.224657333393758,0.011696150493397006,17.486741015431257,0.0006688582213847442,38.6663310723957,3.3631689237975477,1.833894469100539,7.150554920119443,0.21454336211145741,0.2145433621097586,0.07659130712349271,7.659130712349271,1.5425080379721334,4.676303923514719,-0.9984224266735953,0.0,0.0,0.004201198953512453,16.996928818089614,1.2080335124894723,0.00024717400410838753,-0.9994200738331889,12.841112785588518,2.5674876640093567,0.00028538265821445846
